,GeneID,TValue,PValue,Coefficient,sig.cnt,GeneID,AlzheimersPValue,AsthmaPValue,CADPValue,CKDPValue,CLDPValue,COPDPValue,EthnicityPValue,HIVPValue,HypPValue,LupusPValue,ObesePValue,ONDPValue,RAPValue,T2DPValue,AlzheimersFC,AsthmaFC,CADFC,CKDFC,CLDFC,COPDFC,EthnicityFC,HIVFC,HypFC,LupusFC,ObeseFC,ONDFC,RAFC,T2DFC,AdjP
20089,RPS28,4.999898817,0.000309364,0.821989541,6,RPS28,1,1,1,3.47757E-13,9.63545E-05,0.00233539,1,2.12766E-15,1,1,1,0.027642114,0.004297715,1,1,1,1,1.137835944,1.024638428,0.995939544,1,1.093659644,1,1,1,1.066193013,0.984852969,1,0.399260802
20030,RPLP1,4.981752506,0.000318915,0.821018397,6,RPLP1,1,0.026273168,1,1.18793E-13,0.000362309,0.004873187,1,1.40989E-17,1,1,1,0.000204137,1,1,1,0.997085456,1,1.155536218,1.017664765,0.998238141,1,1.118390802,1,1,1,1.135629241,1,1,0.399260802
5858,DR1,4.742342306,0.000478338,0.807509228,7,DR1,1,1,1,6.17478E-20,9.03983E-05,0.01345673,1,1.30209E-15,1,1,0.021675779,0.000222532,0.000405823,1,1,1,1,1.265032829,1.12200005,0.984911029,1,1.053515427,1,1,0.978920916,1.202378348,0.977913876,1,0.399260802
10084,IRGQ,4.693785803,0.000656718,0.81669199,6,IRGQ,NA,1,1,1.39071E-14,0.028179709,1,1,1,1,1,0.032036484,0.014516841,0.003689247,0.004614134,NA,1,1,1.132441803,1.060592892,1,1,1,1,1,1.042733609,1.164676951,0.988464369,1.067503897,0.399260802
18237,POU2F1,4.425533837,0.000827532,0.787449698,6,POU2F1,1.41405E-05,1,1,1.32014E-10,1,1,1,4.31561E-07,1,1,0.015778215,0.019372397,6.39242E-08,1,1.012538141,1,1,1.172717959,1,1,1,1.020720898,1,1,0.98490898,1.141811785,0.969158307,1,0.399260802
18187,POLR3GL,-4.515381196,0.000878689,-0.80594978,8,POLR3GL,4.84856E-11,1,NA,5.45179E-10,5.16367E-07,0.003682286,1,3.76113E-06,1,1,1,0.000122154,0.002944503,0.005608512,0.964991027,1,NA,0.903279456,0.922032679,0.990229638,1,0.976231184,1,1,1,0.833684731,1.019937263,0.975707143,0.399260802
183,ACADM,-4.32069549,0.000994892,-0.780203749,5,ACADM,8.55054E-07,1,1,2.28139E-09,0.000633952,1,1,1,1,1,1,0.047012083,0.000828427,1,0.975464815,1,1,0.764965413,0.951896554,1,1,1,1,1,1,0.887657295,1.042522899,1,0.399260802
19817,RNF187,4.282385721,0.001064511,0.777474916,4,RNF187,1,1,1,1.16403E-13,1,1,1,0.003100142,0.006531111,1,1,0.019198586,1,1,1,1,1,1.15368745,1,1,1,1.012861996,0.889220439,1,1,1.175452014,1,1,0.399260802
19974,RPL23A,4.220086053,0.001188723,0.772941603,9,RPL23A,0.000126917,1,1,5.05217E-20,7.45424E-06,0.002666442,1,3.67112E-19,1,1,0.005982504,0.001604661,0.026214859,0.027897057,0.991373761,1,1,1.259109087,1.022716393,0.998113551,1,1.092758914,1,1,0.997948666,1.098157421,0.996396633,0.996364349,0.399260802
13842,MBTD1,-4.88554026,0.0012158,-0.865429631,5,MBTD1,NA,1,1,1.87634E-11,1.90716E-07,1,NA,NA,1,NA,0.022173752,0.045002872,0.000110537,1,NA,1,1,0.792071017,0.87949523,1,NA,NA,1,NA,0.980052326,0.912756383,1.032117036,1,0.399260802
19561,RFXAP,-4.110508927,0.001444955,-0.764670965,7,RFXAP,0.044588961,1,1,1.56827E-10,0.024016248,1,1,0.017078317,1,1,0.02707725,0.001647912,0.004228991,1,1.003440485,1,1,0.689209387,0.914553948,1,1,1.003294737,1,1,0.970891195,0.786388103,1.054890807,1,0.399260802
245,ACPP,-4.153266205,0.001607548,-0.781418091,4,ACPP,1,1,1,4.67646E-09,1,NA,1,0.001538686,1,1,1,0.015574411,0.0058496,1,1,1,1,0.89205799,1,NA,1,0.984568428,1,1,1,0.903253796,1.036558191,1,0.399260802
19951,RPL13,4.03139708,0.001665014,0.758454845,6,RPL13,1,0.046197997,1,1.63019E-07,0.000487093,0.000219882,1,2.36622E-23,1,1,1,0.000410163,1,1,1,0.994778378,1,1.076047921,1.02622425,0.994475899,1,1.082856431,1,1,1,1.146500897,1,1,0.399260802
7227,FBXW7,-4.03051463,0.001667655,-0.758384314,5,FBXW7,1,1,1,6.03282E-11,1,1,0.003159008,0.003145588,1,1,1,0.034735518,0.003916275,1,1,1,1,0.774043796,1,1,1.11531688,0.978602071,1,1,1,0.741118744,1.024849412,1,0.399260802
6029,EBAG9,-4.013213382,0.00172032,-0.756996105,6,EBAG9,6.98238E-07,1,1,2.00815E-11,0.000452967,1,1,2.24868E-05,1,1,1,5.05728E-05,0.015218235,1,0.978255843,1,1,0.856011884,0.964273247,1,1,0.9883239,1,1,1,0.787698429,1.022227046,1,0.399260802
17981,PLEKHM1,4.006065073,0.001742578,0.756419533,5,PLEKHM1,1.13854E-05,1,1,9.6944E-05,1,1,1,1,1,1,0.026806015,0.045238656,0.000434331,1,1.013988244,1,1,1.082442995,1,1,1,1,1,1,1.012672103,1.087995327,0.982811502,1,0.399260802
13495,LYRM1,-3.98555434,0.001808108,-0.754755328,4,LYRM1,1,1,1,3.51727E-10,1,1,1,0.000638951,1,1,1,0.018894598,1.41353E-12,1,1,1,1,0.914015019,1,1,1,0.991849756,1,1,1,0.902384992,1.041804142,1,0.399260802
24761,UBE2H,3.975240089,0.001842017,0.753912901,6,UBE2H,1,1,1,1.38388E-19,1,0.017323122,1,3.0611E-07,1,1,0.022186593,0.00308873,0.000487171,1,1,1,1,1.282469365,1,0.9794798,1,1.03476046,1,1,1.024705827,1.164308617,0.982446358,1,0.399260802
25518,WWP1,-3.967347574,0.001868407,-0.75326575,6,WWP1,1.14093E-05,1,1,1.11048E-06,0.023674906,1,1,1.50508E-08,1,1,1,0.03104999,0.001529341,1,0.979214856,1,1,0.727959597,0.971705906,1,1,1.015920864,1,1,1,0.848099035,1.051048486,1,0.399260802
8295,GOLGA8A,-4.549461767,0.001875703,-0.849253241,7,GOLGA8A,NA,0.029505812,1,3.48737E-13,0.004588332,0.00445091,NA,NA,1,NA,0.015472531,0.007757873,6.98395E-07,1,NA,0.984930486,1,0.783163283,0.897800345,0.961552057,NA,NA,1,NA,0.964924516,0.710646912,0.955265451,1,0.399260802
19779,RNF138,-3.95992648,0.001893576,-0.752655251,5,RNF138,1,1,1,1.40614E-08,3.37938E-06,1,1,1,0.047492022,1,1,0.010283421,0.000293869,1,1,1,1,0.734194695,0.911010568,1,1,1,1.387676175,1,1,0.778761995,1.066557784,1,0.399260802
1628,ATP5IF1,-4.056159407,0.00189556,-0.774149121,8,ATP5IF1,7.13758E-08,1,1,3.01055E-24,0.00096558,1,0.024026593,0.001855956,NA,1,1,0.039326,5.05182E-06,0.031844592,0.98107351,1,1,0.815931618,0.884143278,1,1.173317536,0.985524908,NA,1,1,0.898203104,1.030755673,0.984128854,0.399260802
13595,MAGEH1,-3.926201383,0.002012439,-0.74985621,6,MAGEH1,1,1,1,1.15735E-11,1,0.002937666,1,0.001181631,1,0.001466666,1,0.008892167,1,0.024806746,1,1,1,0.878765665,1,0.978849003,1,0.989595193,1,1.069371825,1,0.834983111,1,0.963596797,0.399260802
22395,SRP9,-3.916233213,0.002049024,-0.749021101,6,SRP9,0.00082291,1,1,4.0929E-10,0.009063097,1,1,1.12073E-07,1,1,1,0.005712355,9.16085E-05,1,0.97711616,1,1,0.799967727,1.025230404,1,1,0.983621054,1,1,1,0.907503272,1.038418601,1,0.399260802
19926,RPAIN,-3.903570348,0.00209649,-0.747955064,7,RPAIN,1.38916E-12,1,1,9.95653E-14,1,1,0.028243112,1.61804E-06,1,1,1,0.018126915,0.000406771,0.012699377,0.965104953,1,1,0.774591384,1,1,1.170860559,0.971839609,1,1,1,0.799212246,0.963308727,0.945576223,0.399260802
13758,MARCHF7,-3.991287081,0.002117511,-0.769115893,6,MARCHF7,1,1,1,3.6463E-08,8.42442E-06,1,1,0.013979475,NA,1,1,0.000393727,9.24116E-07,0.014161104,1,1,1,0.784616732,0.858889823,1,1,1.011208118,NA,1,1,0.830257407,1.035575079,0.957106968,0.399260802
11146,LEMD3,-3.887934754,0.002156664,-0.746630732,5,LEMD3,0.046352521,1,1,2.54743E-06,1,1,1,0.040159365,1,1,1,0.015898747,3.82024E-05,1,0.987078886,1,1,0.876412845,1,1,1,1.009020019,1,1,1,0.887111385,1.039455908,1,0.399260802
20602,SELENOH,-4.093513157,0.002166959,-0.79136839,6,SELENOH,1,1,NA,6.04493E-10,0.001825619,0.007011501,1,1,NA,1,0.048485886,0.02998147,5.27987E-07,1,1,1,NA,0.87428245,0.983255224,0.983691802,1,1,NA,1,1.015337617,0.907747088,1.038957027,1,0.399260802
