"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"IL23A","IL23A",-4.10801591231103,6.68980322116381e-05,0.999973574102766,8.01168961538461,8.20471282051282,0.97647410587661
"CYP4F12","CYP4F12",3.96041112972911,0.000114153509287569,0.999973574102766,5.74029615384615,5.43205051282051,1.05674572434445
"CDK15","CDK15",3.77274405265078,0.000248712981469649,0.999973574102766,3.48485871794872,3.13583615384615,1.11130127563409
"LRRC37A4P","LRRC37A4P",-3.74661966249624,0.000252929757708126,0.999973574102766,8.85820641025641,9.22080333333333,0.960676211174993
"LRRC37A2","LRRC37A2",-3.69889950298709,0.000306249151341789,0.999973574102766,4.93335602564103,5.31882,0.927528291170039
"SLFN5","SLFN5",-3.66308542075633,0.000342312612969485,0.999973574102766,6.34669846153846,6.70050884615385,0.947196490186193
"AHI1","AHI1",3.67629477606667,0.000344314166890085,0.999973574102766,2.98203038461538,2.81652794871795,1.05876115519208
"SNHG16","SNHG16",-3.61987557017736,0.000416450264743944,0.999973574102766,10.8313371794872,10.9245615384615,0.9914665354169
"MTA3","MTA3",-3.50077062585094,0.00060754113222232,0.999973574102766,5.06041474358974,5.25600230769231,0.96278777050453
"CD8B","CD8B",-3.47483360654793,0.000664570924715498,0.999973574102766,5.73102833333333,6.02791769230769,0.950747609020405
"RHOBTB3","RHOBTB3",3.42442678507953,0.000789768123388716,0.999973574102766,5.53252653846154,5.24947576923077,1.05391981631572
"SLC29A1","SLC29A1",3.41547236925611,0.000815555474422661,0.999973574102766,7.40751038461538,7.04317512820513,1.05172883675024
"ZNF207","ZNF207",3.41614400104773,0.000829602634725252,0.999973574102766,3.08963564102564,2.95224641025641,1.04653718276765
"TRPC6","TRPC6",3.36863134743868,0.00102310017947862,0.999973574102766,2.1673541025641,1.83147217948718,1.18339449915694
"TRIM45","TRIM45",3.33185084273467,0.00108056484065443,0.999973574102766,4.02652782051282,3.91108435897436,1.02951699604064
"TRDN","TRDN",3.33252516151405,0.00111306186970824,0.999973574102766,0.758468179487179,0.669602230769231,1.1327145350395
"KSR1","KSR1",3.29137914317938,0.00123945146519316,0.999973574102766,8.37574717948718,8.16631782051282,1.02564550677275
"OLIG1","OLIG1",3.2846879916388,0.00126526620665968,0.999973574102766,6.77330448717949,6.4206241025641,1.05492929954808
"TEP1","TEP1",3.28759233062277,0.00127214177386386,0.999973574102766,1.63135782051282,1.50982217948718,1.08049665892901
"LOC100272217","LOC100272217",3.27536751332945,0.00130480938725851,0.999973574102766,3.33973923076923,2.92607371794872,1.14137221160324
"ARL17A","ARL17A",-3.26099786346765,0.00137136498091726,0.999973574102766,4.60789641025641,4.95456243589744,0.930030950235017
"SYNE1","SYNE1",3.25207562869226,0.00140840166379952,0.999973574102766,6.71665435897436,6.38456064102564,1.052015124708
"CHRM2","CHRM2",3.25456370786962,0.00141038206702735,0.999973574102766,2.51890346153846,2.37496346153846,1.06060724820868
