"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"CEBPA","CEBPA",4.36665471532693,1.97983895727146e-05,0.263573157020039,401.038545454545,342.668125,1.17034096899017
"PTPN4","PTPN4",-4.24201738304294,3.28819234682111e-05,0.263573157020039,236.198181818182,279.310625,0.845646963190827
"NCAPH","NCAPH",4.21677850626233,3.89478491831447e-05,0.263573157020039,27.1484545454545,18.9601785714286,1.43186702821275
"L3MBTL1","L3MBTL1",4.15822618350179,4.73137651160146e-05,0.263573157020039,42.9684545454545,28.0366071428571,1.5325839651893
"ACSM3","ACSM3",3.94973139044026,0.000108528344913988,0.47155161752833,51.8763636363636,37.9163392857143,1.36817964533588
"ZNF639","ZNF639",-3.89764981971863,0.000133889203513652,0.47155161752833,25.1218181818182,36.865,0.681454446814544
"MPZL1","MPZL1",-3.86169695352102,0.000148133614086896,0.47155161752833,187.768545454545,221.935892857143,0.846048573023786
"ZMYND11","ZMYND11",-3.80802194958559,0.000181709501050195,0.475491497283723,367.144272727273,410.959642857143,0.893382791007775
"PPP1R3A","PPP1R3A",-3.81310921240679,0.000192048802923911,0.475491497283723,5.83745454545455,10.3009821428571,0.56668912386207
"GINS4","GINS4",3.68758796246134,0.000290755588117874,0.584606818543695,46.7077272727273,34.3152678571429,1.36113544172743
"IL27RA","IL27RA",-3.66073177820901,0.000316399574674486,0.584606818543695,205.640454545455,235.954285714286,0.871526676970225
"APBA2","APBA2",-3.63467111126708,0.000347631881707568,0.584606818543695,76.565,98.2709821428572,0.779121143703407
"ITPK1","ITPK1",3.62243719501454,0.000364958409545373,0.584606818543695,940.354636363636,851.827946428571,1.10392555246189
"TP53I11","TP53I11",3.5768261421129,0.000436884116706249,0.584606818543695,41.2386363636364,27.9919642857143,1.47323124389247
"SEMA3C","SEMA3C",3.54372749525119,0.000484358239166248,0.584606818543695,82.5742727272727,69.3600892857143,1.19051566365674
"TES","TES",-3.54021028767578,0.000488019658411285,0.584606818543695,346.430181818182,378.573928571429,0.915092550417978
"NFX1","NFX1",3.53985052151759,0.000496766392542633,0.584606818543695,97.1019090909091,79.326875,1.22407329282679
"AP4E1","AP4E1",3.54403773816426,0.000510725110146423,0.584606818543695,13.5824545454545,8.60142857142857,1.57909287191798
"AVL9","AVL9",3.50279835987787,0.000565714284446615,0.584606818543695,32.7924545454545,24.7708928571429,1.32383013945331
"RABGAP1L","RABGAP1L",-3.49791158041558,0.000568210891899612,0.584606818543695,203.075818181818,228.208571428571,0.88986937217378
"GPLD1","GPLD1",3.50468572414076,0.000599963731144852,0.584606818543695,18.942,10.595625,1.78771898778977
"SUZ12","SUZ12",-3.47109244825533,0.000623822933184324,0.584606818543695,222.700636363636,247.001517857143,0.901616468982343
"HADHA","HADHA",-3.46692721573281,0.000633315660611358,0.584606818543695,221.629909090909,246.341517857143,0.899685570742629
"TMEM158","TMEM158",3.48402892409775,0.000641639997427848,0.584606818543695,124.688,79.1502678571429,1.57533263469237
"AGPAT1","AGPAT1",3.45836534309549,0.000655888814952761,0.584606818543695,460.357909090909,425.655446428571,1.08152712000635
"LRRC47","LRRC47",-3.41144327433798,0.000771011753874996,0.636313144873946,186.873545454545,209.153035714286,0.893477566875122
"TBL1X","TBL1X",-3.36836832249101,0.000893350183248324,0.676455720993103,517.632818181818,576.368035714286,0.898094248998944
"THADA","THADA",-3.35737172701292,0.000929070843656962,0.676455720993103,61.9339090909091,77.8848214285714,0.795198704380532
