"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"CIAO1","CIAO1",-18.8477218245396,2.29792325108412e-30,1.25496482511457e-25,5.10932603174603,6.101874,0.837337190467393
"AIMP2","AIMP2",16.8972727161846,3.31762171418833e-28,9.05926373384836e-24,6.23800238095238,5.300554,1.17685856628428
"GUK1","GUK1",16.837796475146,7.51154247734981e-28,1.36742623105168e-23,5.07779222222222,3.9180175,1.29601060286796
"ARHGAP30","ARHGAP30",17.3708545212438,1.46468427209981e-27,1.99977005380467e-23,5.9663219047619,4.9934795,1.19482254903858
"HINT1","HINT1",-16.1877047706826,1.62281236847542e-26,1.77253303759096e-22,4.68410095238095,6.125008,0.764750177041557
"NRG1","NRG1",15.8980494668,2.93809451320822e-26,2.67430259416401e-22,5.98928095238095,4.7480785,1.26141152729066
"SNTB2","SNTB2",15.8317049538134,8.03786441596802e-26,6.27102699070373e-22,4.17594507936508,3.2661545,1.27855099303021
"PPP1R11","PPP1R11",-16.8350831311904,9.90029471910422e-26,6.75855994368048e-22,7.34115063492064,8.20105,0.89514764998636
"MORN1","MORN1",16.6161982436963,1.89914355814353e-25,1.15242141267659e-21,6.92324444444444,5.8218275,1.1891874921482
"TRPV6","TRPV6",16.4096652413674,2.64543126033549e-25,1.32699997722983e-21,6.04144968253968,5.2008685,1.16162323322339
"USP36","USP36",-15.218291656929,2.79223713433364e-25,1.32699997722983e-21,5.85583952380952,6.644332,0.881328555498058
"KLHL24","KLHL24",-15.668933783107,2.91578923090802e-25,1.32699997722983e-21,4.77225349206349,6.6557145,0.717015955546695
"TRIM32","TRIM32",-15.1994360399881,8.44837717102329e-25,3.54916324954688e-21,4.6424573015873,5.4611135,0.85009353890691
"CCDC115","CCDC115",-15.1438506655688,1.16398647545261e-24,4.54062809884953e-21,6.83312428571429,7.9388015,0.860724919966104
"BBS1","BBS1",-14.9691976778636,1.46709440974545e-24,5.30138651303546e-21,5.80428317460317,6.53734,0.887866192457968
