"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"PPARD","PPARD",-5.02927890764854,2.02846345668454e-06,0.0153526058613251,7.6209798182234,7.76519963519048,0.981427416712702
"SDR39U1","SDR39U1",-4.96045027282451,2.45034009437796e-06,0.0153526058613251,8.37602624815957,8.53119499619048,0.98181160457589
"NUDT16L1","NUDT16L1",-4.74649381571688,6.31186718126262e-06,0.0167208964832614,7.30198552025532,7.44024439771429,0.98141742796763
"RPARP-AS1","RPARP-AS1",-4.70464781986968,9.55492803744075e-06,0.0167208964832614,6.98104308305319,7.22407066588095,0.966358637108082
"BCL6","BCL6",4.6475006934298,1.05067272548112e-05,0.0167208964832614,9.96270664248936,9.63208922085714,1.03432458047796
"RASGRP2","RASGRP2",-4.62843911873016,1.0842360425526e-05,0.0167208964832614,10.196060767383,10.3788415464524,0.982389096292555
"RPS19","RPS19",-4.59460615273495,1.10712543535264e-05,0.0167208964832614,13.7016427564894,13.7528550133333,0.99627624542
"VAPB","VAPB",-4.60255030613539,1.23425401166474e-05,0.0167208964832614,7.99991392284043,8.10339196397619,0.987230280653364
"RPS15","RPS15",-4.55196533915051,1.29131727583056e-05,0.0167208964832614,13.4415622553191,13.4803337890476,0.997123844681059
"SEPTIN1","SEPTIN1",-4.57195095654772,1.41121526229061e-05,0.0167208964832614,7.92174811376596,8.23788853214286,0.961623610571644
"TMEM63A","TMEM63A",-4.57787640578693,1.46779874962793e-05,0.0167208964832614,7.62103159764894,7.87155493514286,0.96817358964549
"OFD1","OFD1",-4.54371522477961,1.70199183544729e-05,0.0173884474550241,9.24530382259574,9.43909934890476,0.979468854056346
"ISY1","ISY1",-4.56029716651363,1.80392480181401e-05,0.0173884474550241,7.14337416637234,7.3009403762619,0.978418367803431
"RPL30","RPL30",-4.42020059569175,2.83253801669707e-05,0.0214032356149124,13.6776586401064,13.7157656714286,0.997221662119704
"SLC25A38","SLC25A38",-4.3845894666233,2.93846883534276e-05,0.0214032356149124,7.68778585314894,7.86404239690476,0.977587030326134
"USP20","USP20",-4.40621023917193,3.123781510483e-05,0.0214032356149124,7.47559973837234,7.67179175766667,0.974426832024179
"RPSA","RPSA",-4.33275132277367,3.19678665163139e-05,0.0214032356149124,12.7988354339362,12.8914884438095,0.992812853979026
"RPS29","RPS29",-4.31652519694653,3.41621867611473e-05,0.0214032356149124,13.2880022484043,13.3437159216667,0.995824725766835
"PTEN","PTEN",4.34934344055853,3.59362831232178e-05,0.0214032356149124,9.76874233747872,9.62409447176191,1.0150297636979
"LONP1","LONP1",-4.31463109764752,3.64748977824921e-05,0.0214032356149124,7.85300409896808,7.96570658657143,0.985851539172515
"ZNF329","ZNF329",-4.27422500796105,4.04039828434049e-05,0.0214032356149124,6.64378406253191,6.86928030797619,0.967173235719841
"RPL19","RPL19",-4.27950666918723,4.1067378760238e-05,0.0214032356149124,13.2962641593617,13.343981247619,0.996424074092141
"RPS12","RPS12",-4.29256598214118,4.40625876311428e-05,0.0214032356149124,13.5860399726596,13.630274695,0.996754671249828
"NSUN5","NSUN5",-4.28381089473268,4.43016426285545e-05,0.0214032356149124,9.32033949057447,9.48459044671429,0.982682335408935
"FBXO46","FBXO46",-4.26673127261515,4.57491309887507e-05,0.0214032356149124,7.08153087379787,7.21372382178571,0.981674797753053
"PATZ1","PATZ1",-4.26506141574491,4.61166197113268e-05,0.0214032356149124,6.4001622887766,6.54769138214286,0.977468532837603
"MTERF4","MTERF4",-4.22112316152645,5.83421453480143e-05,0.0261101936912845,6.8699834385,7.06561624709524,0.972311996327898
"RPS16","RPS16",-4.16492015021377,6.15555721355982e-05,0.0264318149184855,13.3633422505319,13.4042010483333,0.996951791632035
"TUBGCP6","TUBGCP6",-4.15746966780595,6.32794228357325e-05,0.0264318149184855,6.41250126582979,6.62340597516667,0.96815766538732
"MUTYH","MUTYH",-4.1164019617247,7.25869779273867e-05,0.0293415296905833,7.13695833353191,7.26163273611905,0.982831078475367
"POP5","POP5",-4.09489383312512,7.69247087465336e-05,0.0301232351657129,9.27731932937234,9.38316305419048,0.988719824625571
"IRAK3","IRAK3",4.10539039289602,9.37015966030385e-05,0.0352029201139499,6.55969343687234,6.21401057042857,1.05562959099053
"SNRPN","SNRPN",-4.06566610531328,0.000101169327996893,0.0352029201139499,9.98614159597872,10.1735308833333,0.98158070295323
"ITPKB","ITPKB",-4.06114496838492,0.000102161943306532,0.0352029201139499,7.43236250565957,7.6806401912619,0.967674870919642
"NSUN5P1","NSUN5P1",-4.03162320714941,0.000110856345539807,0.0352029201139499,8.64870816635106,8.84021955785714,0.97833635349748
"THAP7","THAP7",-4.04221645998219,0.000111416849938883,0.0352029201139499,7.19972575331915,7.32158884088095,0.983355649953823
"ETS1","ETS1",-4.0214751069002,0.000111571606036024,0.0352029201139499,11.5601853973404,11.7325217690476,0.985311225063153
"IL23A","IL23A",-3.98856927940417,0.000113966549312137,0.0352029201139499,11.815604936383,12.0151366597619,0.983393303877504
"OCIAD2","OCIAD2",-4.00416450110311,0.000114804682155174,0.0352029201139499,8.76257769444681,8.96576873854762,0.977337019275636
"NOSIP","NOSIP",-4.06647375236878,0.000116421070422119,0.0352029201139499,9.54033591770213,9.81526188880952,0.97198995052584
"LOC155060","LOC155060",-4.03244957736931,0.000118443055927893,0.0352029201139499,6.74931068187234,6.8551755637619,0.984556940824508
"HMCES","HMCES",-4.01331841484788,0.000122988577346712,0.0352029201139499,6.01460176961702,6.24608052064286,0.962940158990776
"MARCHF9","MARCHF9",-4.0253258166906,0.00012360773162667,0.0352029201139499,6.83701029555319,7.05739530509524,0.968772471993607
"NMT2","NMT2",-3.9959260642261,0.000129623855289636,0.0360959229029874,7.00326701987234,7.28737795804762,0.961013283541644
"SEC24A","SEC24A",3.95010823915027,0.000136400903067666,0.0364692332402968,5.68163294876596,5.48114178742857,1.03657835704911
"ESYT1","ESYT1",-3.96726185379215,0.000138417681340532,0.0364692332402968,9.63347761079787,9.83270729290476,0.97973806438328
"SEPTIN6","SEPTIN6",-3.98158628376814,0.000139695411023402,0.0364692332402968,9.79068680809574,9.98683317990476,0.980359502529421
"GPATCH4","GPATCH4",-3.96413364672249,0.000144639039004381,0.0369892203625285,7.11003898298936,7.26167443485714,0.979118390224174
"GATA3","GATA3",-3.92125474720631,0.000148087009011082,0.036995599208248,6.58572872041489,6.83953752057143,0.962890941179407
"CDK10","CDK10",-3.91412408527217,0.000150568634555953,0.036995599208248,6.6439601856383,6.84513260238095,0.970610880982396
"ZFAND5","ZFAND5",3.92688413114431,0.000162862846537003,0.0378414382163346,9.89051744635106,9.64129294014286,1.02584969752039
"RPL3","RPL3",-3.91207677392943,0.000164705169106818,0.0378414382163346,13.3881612715957,13.476128252381,0.993472384713342
"HDAC1","HDAC1",-3.8978022575739,0.000167529750076521,0.0378414382163346,9.93824232510638,10.0854969283095,0.985399370576396
"RPL18A","RPL18A",-3.91121543557842,0.0001691102497897,0.0378414382163346,12.915509438617,13.0004177561905,0.993468800836571
"NSUN5P2","NSUN5P2",-3.90407073941492,0.000179160337598718,0.0382586804317222,8.98014413701064,9.16453672964286,0.979879769368396
"SHROOM1","SHROOM1",3.92247303994382,0.000182170373503139,0.0382586804317222,6.89730859664894,6.553557919,1.05245252760372
"RPS27A","RPS27A",-3.88260996450629,0.000188122622889148,0.0382586804317222,13.1445418035106,13.2138854430952,0.994752214261034
"ZAP70","ZAP70",-3.8845921375704,0.000197764132679817,0.0382586804317222,9.07472514465957,9.38437209709524,0.967003977545657
