"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"MRPL51","MRPL51",-12.1130224659281,7.84990671749986e-26,3.00831975134747e-21,8.84250917533103,9.40875991875962,0.939816644454965
"NDUFA1","NDUFA1",-11.4184766039327,3.42905262263305e-23,6.52121242865312e-19,10.4969410689172,11.5933806795962,0.905425376688562
"RPL36AL","RPL36AL",-10.9986459273792,5.10493366541225e-23,6.52121242865312e-19,12.0486649315172,12.7387218889423,0.945829969172648
"CETN2","CETN2",-10.7592845487591,7.19244545138484e-22,6.89090217583553e-18,9.39549716581379,9.73779965893269,0.964848065773781
"RPS25","RPS25",-10.5051236664605,2.06336234498162e-21,1.38365878792381e-17,13.4813420486207,14.0826510567308,0.957301433821817
"RPL22","RPL22",-10.2669441665886,6.64654774234872e-20,3.18394561412537e-16,10.6197236729793,11.5886413802404,0.91639074198006
"RPS27A","RPS27A",-9.90928497501837,1.08548390552665e-19,4.62211107905533e-16,13.6030548836552,14.0552788236538,0.967825331274281
"NDUFS5","NDUFS5",-10.1291721778488,3.49674102557082e-19,1.258468196411e-15,9.01415775955172,9.93423877296154,0.907382836829527
"ATP6V1E1","ATP6V1E1",-9.96264751335956,3.61223029525897e-19,1.258468196411e-15,10.7897012945517,11.2042375671154,0.963001831219615
"RPA3","RPA3",-9.82818464920912,7.59075440041076e-19,2.42417067405785e-15,8.34134652182759,8.77196520558654,0.950909668054234
"CALML4","CALML4",-9.80085703378343,9.11832297556743e-19,2.68801147225131e-15,8.65578863253103,9.045092106625,0.956959700409372
"COX17","COX17",-9.77757328483751,1.79068216568364e-18,4.90173661682101e-15,9.43333190973793,9.96068865540385,0.947056196221953
"UQCRH","UQCRH",-9.60770386418779,2.13237711464638e-18,5.44793921097288e-15,9.98838583486207,10.7345334423269,0.930490914069656
"ING3","ING3",-9.62210883530352,1.50823928593717e-17,3.61251588468564e-14,8.12345428518621,8.51208182877885,0.954344007563612
"ATP5ME","ATP5ME",-9.45420461021207,3.23951327292882e-17,7.302815715203e-14,10.2629933917793,11.0067187658077,0.932429873983992
"SEM1","SEM1",-9.52234491143152,7.39883271098063e-17,1.57525258879395e-13,8.65776621055172,9.65129118469231,0.897057817951199
"ATP5PO","ATP5PO",-8.95213519640028,1.9452739889955e-16,3.92361763580392e-13,9.77859472533103,10.4524064604615,0.935535253275947
"POMP","POMP",-8.87923341509491,3.22350517334643e-16,6.17671943790776e-13,9.8881781340069,10.2529359665673,0.964424060215551
"MRPL33","MRPL33",-8.87404166424708,3.58865121021376e-16,6.54894668233438e-13,10.0884079786276,10.4712237843846,0.963441158966738
"GIMAP7","GIMAP7",-8.81179979215153,5.38492708898234e-16,9.38029821959411e-13,10.4692432100345,11.1288843631635,0.940727108701714
"TBCA","TBCA",-8.96795867995604,8.30461424236262e-16,1.3482963244466e-12,9.76597073311035,10.403290259625,0.938738657616035
"DNAJA1","DNAJA1",-8.83852757263716,8.44378357297662e-16,1.3482963244466e-12,9.8694029577931,10.5301731919712,0.937249822758674
"RPF2","RPF2",-8.88284557287258,1.00457467842802e-15,1.48070443851527e-12,8.15348911902759,8.533164959625,0.955505859503026
"UFC1","UFC1",-8.69316498449923,1.19649156029881e-15,1.69826466908635e-12,9.568941988,9.94346528244231,0.962334731021426
"RPL32","RPL32",-8.47488935517668,2.30017111706649e-15,3.03963647308066e-12,13.1183366258621,13.4276548110577,0.976964094657773
"MRPS17","MRPS17",-8.57438333304468,3.07154374927791e-15,3.79712164850249e-12,7.91470379484828,8.10859209934615,0.976088536441053
"GTF2H5","GTF2H5",-8.61136688670911,4.37745324931807e-15,5.24241065230051e-12,8.49777637858621,8.93575352148077,0.950985986594001
"SNRPB2","SNRPB2",-8.49927947426771,5.49505470344823e-15,6.01749275323871e-12,9.30452032904828,9.70881463124038,0.958358016138119
"ENY2","ENY2",-8.68678896293388,5.59455139560024e-15,6.01749275323871e-12,8.29235076285517,8.98626735451923,0.922780330888432
"OARD1","OARD1",-8.58382378816959,5.62414362849296e-15,6.01749275323871e-12,8.39562857742069,8.67006284843269,0.968346910995967
"SSB","SSB",-8.61568323683897,5.65273436621855e-15,6.01749275323871e-12,8.2323986054069,8.656277277625,0.951032221054915
"ATP6V1D","ATP6V1D",-8.49608267400351,7.05926128629135e-15,7.31167757498766e-12,9.23319372875862,9.68097332846154,0.953746427708207
"NGDN","NGDN",-8.55157130367894,7.56453785777925e-15,7.62883642957037e-12,8.28434025709655,8.65574314186538,0.957091739128387
"GNL2","GNL2",-8.43660619460856,9.1335925283745e-15,8.53723576743649e-12,8.31086024014483,8.57773802457692,0.968887160733117
"CREBRF","CREBRF",8.40216733622832,9.62371003820138e-15,8.78117713795218e-12,10.9624437574483,10.6078005619904,1.03343230233123
"RPS23","RPS23",-8.26607135292067,1.37528281374218e-14,1.22569682025678e-11,9.40787460614483,10.3449081419327,0.909420796885607
"CWC15","CWC15",-8.42283176901207,1.64978105717885e-14,1.43692180577875e-11,8.44580834208276,8.79484483007692,0.960313513798388
"UCHL3","UCHL3",-8.31445440005416,2.07857170698586e-14,1.77015785615153e-11,8.00272769846207,8.26314407384615,0.968484589757023
"MRPS21","MRPS21",-8.31923621315731,3.42578642204795e-14,2.82783187363328e-11,8.52622203506897,9.02604480254808,0.944624386604196
"PRDX1","PRDX1",-8.08609406620137,3.53002592170619e-14,2.82783187363328e-11,9.56273357291724,9.89158043225962,0.966754871823122
"LSM5","LSM5",-8.21442244513165,3.54189207354324e-14,2.82783187363328e-11,8.51083398944138,8.99073873174038,0.946622323635679
"SCFD1","SCFD1",-8.0974356980313,4.57847189386476e-14,3.58083221201182e-11,9.05667747988966,9.29940397650962,0.973898703913381
"NSA2","NSA2",-8.0190327107741,5.6820553481546e-14,4.35506814214657e-11,9.89144246658621,10.40681178725,0.950477693726027
"MRPS33","MRPS33",-8.16763250333224,6.33504330415308e-14,4.49284744188771e-11,8.09678754022069,8.48420342819231,0.95433679882259
"AIF1","AIF1",-8.16413791307628,6.49010616023359e-14,4.49284744188771e-11,10.3982795282621,11.0519933070865,0.940851051872669
"PSMC2","PSMC2",-8.03996787915897,6.56523384770795e-14,4.49284744188771e-11,9.20027447092414,9.61395510382692,0.95697081706382
"SNTB2","SNTB2",7.99462162678444,9.92413413659105e-14,6.49439580409135e-11,9.63336422208276,9.35101021309615,1.03019502733418
"ATP5F1EP2","ATP5F1EP2",-8.08719926495741,1.19273683011997e-13,7.53306029992574e-11,12.2402168771034,12.8529687686538,0.952326042132399
"GTF2B","GTF2B",-8.0600233123629,1.19906238628362e-13,7.53306029992574e-11,8.4669478279931,8.86311125534615,0.955301990921745
"SSBP1","SSBP1",-7.90591222949806,1.2397331795201e-13,7.66295074818526e-11,9.5306552964,9.82225729449038,0.970312119775772
"WDR33","WDR33",-7.91569726164505,1.30854403592664e-13,7.95989414108204e-11,8.68165123547586,8.91040922486538,0.974326881783257
"RPL6","RPL6",-7.9557607176788,1.33545461006544e-13,7.9966604721153e-11,10.116929269269,10.710684294875,0.944564230514185
"RO60","RO60",7.95983707853982,1.40068873898758e-13,8.25824531449553e-11,8.44777920669655,8.27314402504808,1.02110868384737
"WASHC3","WASHC3",-8.00448336181585,1.73953554082045e-13,1.0100639474373e-10,8.61723192358621,9.00893645047115,0.956520447331554
"ARHGAP11A","ARHGAP11A",-8.04501623348663,1.96496413647482e-13,1.12393015824066e-10,7.675123026,7.83129927866346,0.980057427623923
"TOMM7","TOMM7",-7.88647399443791,2.19769103799154e-13,1.21599140539002e-10,10.8489100462414,11.8155450817885,0.918189552081099
"UQCRB","UQCRB",-8.24161160924712,2.22110477721738e-13,1.21599140539002e-10,7.50351437511724,7.88463717229808,0.951662608075376
"PSMA3","PSMA3",-8.0390792843312,2.48947084466122e-13,1.32505543305489e-10,8.12879404504828,8.53892669558654,0.951969062956092
"NACA","NACA",-7.74176421014507,2.56012624174005e-13,1.34399613646855e-10,12.8732561362759,13.0873715316346,0.983639541764273
"ZMAT2","ZMAT2",-7.88252112853272,3.09458922107912e-13,1.5812525695922e-10,9.74805759451724,10.3119024318654,0.945320968553215
"SARNP","SARNP",-8.01465243600419,3.4690064666705e-13,1.7492465108186e-10,8.65120941703448,9.33715304935577,0.926536104881711
"SLIRP","SLIRP",-7.96805500785711,3.76106223251273e-13,1.87188555761799e-10,8.72068961633793,9.40199896357692,0.927535692156704
"CETN3","CETN3",-7.99520013318602,4.59976936143375e-13,2.25996104151571e-10,7.63107419715172,7.98760453248077,0.95536454842259
"FXR1","FXR1",-7.82680276383208,4.86358217298106e-13,2.34986334115707e-10,7.94884680211724,8.19145575494231,0.97038268165232
"CBX3","CBX3",-7.82432455656736,4.90538494618286e-13,2.34986334115707e-10,8.47024911302759,8.85055181349039,0.957030622668846
"RPAP3","RPAP3",-7.7523560419061,5.30912060878804e-13,2.51186949494548e-10,8.09685698133793,8.34531787525,0.970227509889235
"IGBP1","IGBP1",-7.72747183648255,5.43893596537763e-13,2.54190662196545e-10,8.63095323777241,8.93980753745192,0.965451795423379
"SOD1","SOD1",-7.7197083996254,5.72092452674462e-13,2.64148181492089e-10,10.314003141731,10.7270021659327,0.961499119901991
"HSP90AA1","HSP90AA1",-7.66140408595691,6.1738404989761e-13,2.81666773145549e-10,8.88379353366207,9.41883614541346,0.943194402844354
"UQCRHL","UQCRHL",-7.6844144805392,6.34442241806658e-13,2.86043882738313e-10,9.59957043818621,10.1848870328173,0.942530870225156
"PPIG","PPIG",-7.75213782375286,6.61932094783828e-13,2.94967717074426e-10,7.74285395114483,8.03766330777885,0.963321509579942
"LARP7","LARP7",-7.78473940358117,7.05820991091645e-13,3.04412878193467e-10,7.9504479499931,8.36251641803846,0.950724345705737
"SNRPD2","SNRPD2",-7.58979250445915,7.33028609778624e-13,3.09893673089911e-10,11.0173141677241,11.5833554023462,0.951133223926863
"CWC27","CWC27",-7.72554843920965,7.35858994629385e-13,3.09893673089911e-10,8.04683874493104,8.26555942114423,0.973538309378832
"CDC26","CDC26",-7.74326930858867,9.21159518831526e-13,3.83713002610658e-10,9.25127582509655,9.52575047250962,0.971186034296702
"DNAJC8","DNAJC8",-7.64491922612468,9.33633077828242e-13,3.84727101522707e-10,10.6179282189034,10.9646305092596,0.968379938561233
"ATP5MF","ATP5MF",-7.66481261014743,9.84492465538313e-13,4.01369199540689e-10,9.88819253063448,10.1706394577596,0.972229186935769
"SYF2","SYF2",-7.73485803970878,1.06569784495205e-12,4.29902510653657e-10,9.65053061246207,10.0494938883269,0.960300162346656
"BRIX1","BRIX1",-7.62471330463921,1.1005715186279e-12,4.34816518643062e-10,8.1402606296,8.41402267718269,0.967463595228346
"TYK2","TYK2",7.64179650654763,1.11800971127831e-12,4.37198838421619e-10,11.3941325304138,11.0826992007692,1.02810085557704
"APBB3","APBB3",7.63604821605966,1.14286763257018e-12,4.42405214979667e-10,9.81641013246207,9.55425047227885,1.02743906086028
"MRPS18C","MRPS18C",-7.76188757450948,1.18601174789894e-12,4.54515282147312e-10,8.19551285077931,8.87066348774039,0.923889499596715
"DBI","DBI",-7.74793557534918,1.2809936191162e-12,4.82479546701556e-10,8.78909702315172,9.64562244053846,0.911200607045643
"SRP19","SRP19",-7.65435432594401,1.28416130687991e-12,4.82479546701556e-10,8.28820821708276,8.58089571854808,0.96589079845911
"RPAIN","RPAIN",-7.6224173757257,1.38915944769254e-12,5.12954836778686e-10,8.69199848253103,9.00627279051923,0.965104953480975
"MRPL22","MRPL22",-7.74108271242589,1.39204402121398e-12,5.12954836778686e-10,8.23986241873793,8.67318580414423,0.950038729113903
"ATP5PF","ATP5PF",-7.72853566953894,1.41575712200019e-12,5.16724382727747e-10,9.36850084704828,10.1097453805385,0.926680197612385
