"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"SLC16A10","SLC16A10",-28.8257320197387,2.88289814952514e-17,1.43499138290763e-12,2.574618,5.58129071428571,0.461294372896592
"DTNA","DTNA",28.10048879588,8.44902878641841e-17,2.10279428436381e-12,6.49321626666667,2.87578771428571,2.25789137160962
"TXN","TXN",20.3729349745238,1.03502801146241e-14,1.71731847661843e-10,12.9697848666667,11.2686672857143,1.15095996161933
"TXNDC17","TXNDC17",18.2607281793887,7.70620783279165e-14,7.67168402170074e-10,10.939923,9.79028171428571,1.11742678293279
"LOXL4","LOXL4",19.6015790164793,1.07099697536998e-13,8.88499090766934e-10,7.92318966666667,2.91476142857143,2.71829783014178
"TMED3","TMED3",21.5846451480326,1.39411683707332e-13,9.91336566888026e-10,6.91854666666667,4.72674928571429,1.46370079064203
"MYL12B","MYL12B",17.3842495324787,2.07927298915233e-13,1.29372365385058e-09,12.6468044666667,11.3498282857143,1.11427275799272
"KLF6","KLF6",-16.8723482663504,2.69950407478298e-13,1.40627939834377e-09,8.34520353333333,10.7413571428571,0.776922638577638
"KCNN2","KCNN2",-22.4326984819346,2.82521576330716e-13,1.40627939834377e-09,3.5790638,9.68852857142857,0.369412524679407
"FOS","FOS",-21.9752929301368,4.02907717709779e-13,1.82319405061109e-09,3.83639753333333,10.587989,0.362334862015188
"SOX4","SOX4",18.680454217056,5.460447800761e-13,2.1223142827369e-09,6.4976986,3.433657,1.89235517700225
"CCL20","CCL20",16.2360852047277,5.54284909907981e-13,2.1223142827369e-09,9.17537266666667,2.61075557142857,3.51445105282147
"PCOLCE2","PCOLCE2",-16.0356665292804,7.38654137928859e-13,2.62623202639621e-09,3.67530373333333,8.15682014285714,0.450580455246615
"CCT6A","CCT6A",16.3367225281419,9.34112809425406e-13,3.08230668803558e-09,9.30153933333333,7.96831914285714,1.16731510957004
"PPP1R1A","PPP1R1A",-17.6729090024768,9.91456839622522e-13,3.08230668803558e-09,6.5358224,10.4505444285714,0.625404967623628
"CD59","CD59",16.3747404834379,1.05270037159685e-12,3.08230668803558e-09,11.1799062,9.83898585714286,1.13628643869669
"RAN","RAN",15.6154779570544,1.14894542319814e-12,3.1772170769506e-09,10.7789414666667,9.17563814285714,1.17473480305646
"MYL12A","MYL12A",15.3943466047994,1.7208640941688e-12,4.48121415882852e-09,13.4566816666667,12.154144,1.10716819437606
"PCBP2","PCBP2",-15.5215574008226,1.86968474045725e-12,4.48121415882852e-09,7.06345366666667,8.19086785714286,0.862357175071134
"UBE2L3","UBE2L3",15.1508047598784,2.07063495767149e-12,4.48121415882852e-09,9.98112286666667,9.04036114285714,1.10406240513443
"ITGAV","ITGAV",15.0809702745671,2.26452003519928e-12,4.69661455300331e-09,10.6970666,8.54232371428571,1.25224317852891
"LAMC1","LAMC1",14.9448141261153,2.67968290486059e-12,5.20919413466764e-09,7.4783906,6.27095157142857,1.19254478603737
"REEP5","REEP5",16.0482082078872,2.74261117076879e-12,5.20919413466764e-09,10.3694435333333,9.38009157142857,1.10547359312763
"KRT18","KRT18",15.4524210851239,3.02941839196925e-12,5.20919413466764e-09,13.0537208,10.7140692857143,1.21837188577876
"STAT5B","STAT5B",-15.4646174356168,3.10105173497658e-12,5.20919413466764e-09,6.31697006666667,7.15858285714286,0.882433044742029
"CTNNA1","CTNNA1",15.0250398169617,3.18906016553105e-12,5.20919413466764e-09,10.0485747333333,8.99997685714286,1.11651117473244
"ATR","ATR",14.7915800859549,3.20031846834111e-12,5.20919413466764e-09,6.44208426666667,4.72325585714286,1.36390753783208
"SUB1","SUB1",14.9085431261379,3.24423453420719e-12,5.20919413466764e-09,10.3729432666667,9.10122928571429,1.13972991351273
"KRT23","KRT23",19.4535002515199,3.84167152663155e-12,5.97572005967537e-09,9.55291106666667,2.513957,3.79995006544132
"NIPAL2","NIPAL2",21.0522714227623,4.47686168846562e-12,6.75273537591105e-09,8.16963353333333,6.34607114285714,1.2873529699598
"COL4A1","COL4A1",15.0731386134735,5.29939299487381e-12,7.73741452967156e-09,10.2430012,6.91383642857143,1.48152206171248
"TM4SF4","TM4SF4",14.9317100511255,6.52930838132938e-12,9.02785705525142e-09,12.8518554666667,11.4662995714286,1.12083723145439
"HGF","HGF",17.4777092788276,7.09294965752578e-12,9.54212600413522e-09,5.49348426666667,2.53249642857143,2.1691972413819
"TMEM92","TMEM92",14.3022144384867,7.69851159194393e-12,9.59485534458667e-09,6.11337973333333,4.207478,1.45297960757806
"LAMP2","LAMP2",14.1042462648932,7.71042698857817e-12,9.59485534458667e-09,12.1460243333333,10.9791738571429,1.10627853164301
"PPDPF","PPDPF",14.2898889313928,8.87989573069715e-12,1.03916234320251e-08,3.97871646666667,2.55288285714286,1.55851901137351
"LINC01018","LINC01018",-13.9636149921752,9.68304023740423e-12,1.03916234320251e-08,5.563526,8.75952328571429,0.635140271739837
"CAPRIN1","CAPRIN1",15.0001480466691,9.71212254484464e-12,1.03916234320251e-08,9.47675393333333,8.26596928571429,1.14647824178486
"NME2","NME2",14.1860623988433,9.72978256617292e-12,1.03916234320251e-08,11.0865968,9.86874742857143,1.12340465497199
"BCAP31","BCAP31",15.6355686689042,9.87299865661609e-12,1.03916234320251e-08,9.63727093333333,8.54012371428571,1.12846971024698
"HEXA","HEXA",14.305561505905,1.0271404435047e-11,1.03916234320251e-08,9.0058424,7.78537342857143,1.1567643456831
