"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"ACTR1A","ACTR1A",-12.7916512429255,4.63037326049355e-29,1.67313186837422e-24,9.05814693344149,9.4937858073,0.954113260747516
"RALY","RALY",-12.7381913648007,7.09074363610025e-29,1.67313186837422e-24,10.4667523217287,10.8978795005,0.96043935164162
"STK11IP","STK11IP",-12.5493871742459,3.03059384535835e-28,4.76732615833837e-24,8.60529772705851,9.06256126891667,0.94954367443269
"QKI","QKI",12.2442772245356,6.48094529187267e-27,7.64621925535138e-23,7.71206507384574,7.29329443781667,1.05741858354953
"MAP3K11","MAP3K11",-12.1407247281474,1.02296050362774e-26,9.65511041744003e-23,9.36020369798404,9.89149778635,0.946287801924282
"PTBP1","PTBP1",-11.9495638009954,3.1154140074851e-26,2.16891720257911e-22,11.6400791932979,12.0167755041667,0.968652463321947
"SEPTIN2","SEPTIN2",11.958302085249,3.21715977666845e-26,2.16891720257911e-22,7.36221992194681,7.05019576868333,1.04425751617416
"RHOT2","RHOT2",-11.8977954713482,5.17597680915993e-26,3.05330871972344e-22,9.18886480279255,9.61594668251667,0.955586080723532
"ATAD3A","ATAD3A",-11.8949503832731,6.90540177930009e-26,3.62088578631922e-22,7.60202032328723,7.91817725971667,0.960072005707947
"RPL36A","RPL36A",11.7157296425062,1.74419460147221e-25,8.23120316326765e-22,8.12818575346808,7.49603826851667,1.08433087749918
"H3C13","H3C13",11.6443037177744,9.12739290378637e-25,3.9158175083226e-21,7.28226570747872,6.96739307803333,1.04519231596651
"KATNB1","KATNB1",-11.5658600756098,1.2587151482989e-24,4.95010710654349e-21,8.4916541704734,8.8041386285,0.964507094763927
"IDH3G","IDH3G",-11.5835872658963,1.75546748393571e-24,6.37261703860723e-21,9.96716489887234,10.2824277705667,0.969339646362821
"INTS1","INTS1",-11.2817542593417,6.35834499642315e-24,2.06040555228456e-20,7.89551455870745,8.2446125495,0.957657441305265
"NSRP1","NSRP1",11.257145884068,6.54900900243015e-24,2.06040555228456e-20,7.34454067462234,7.00094936628333,1.04907781650211
"FAAP100","FAAP100",-11.2178236694797,9.21094273351154e-24,2.57747133026305e-20,9.84306486784043,10.2940244588833,0.956192100296231
"CRSP8P","CRSP8P",-11.2077629398578,9.46309465943488e-24,2.57747133026305e-20,9.13545002855851,9.40466472265,0.971374344324778
"RPL7","RPL7",11.2622804365349,1.03205102312658e-23,2.57747133026305e-20,8.4422278103617,7.54870259305,1.11836805150257
"C12orf10","C12orf10",-11.4718675980645,1.03771730960752e-23,2.57747133026305e-20,10.4553290682234,10.7947156771667,0.968559930701913
"CES4A","CES4A",-11.4620604401175,1.16136677859718e-23,2.74036105077792e-20,7.56971503268085,7.85135216125,0.964128837583014
"SPECC1L","SPECC1L",-11.2517383385475,1.44499992240835e-23,3.09965619719522e-20,9.12545795429255,9.4820000221,0.962398010232394
