"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"HIGD1C","HIGD1C",4.29723106492325,0.000583929729400899,0.975978114550911,7.9876769,3.7056783,2.15552356501103
"TCL1A","TCL1A",-4.10267451318323,0.00107783089299046,0.975978114550911,104.662652,172.811119,0.605647672474131
"GPR143","GPR143",3.46638607169715,0.00291802848730892,0.975978114550911,16.912042,10.83969,1.56019609416874
"CD1B","CD1B",3.63545839190389,0.00303672128400716,0.975978114550911,13.8137582,7.7211641,1.78907714187813
"CD72","CD72",-3.46885651121188,0.00305640971173362,0.975978114550911,121.107856,152.83867,0.792390145766121
"CD180","CD180",-3.42156373768978,0.0032204115058828,0.975978114550911,14.863345,31.7892243,0.467559222575934
"SFTPA2","SFTPA2",3.55395093810627,0.00344806888133807,0.975978114550911,6.5022881,3.1430492,2.06878342852539
"C11orf96","C11orf96",3.61233233632701,0.00426371800572706,0.975978114550911,16.1878125,7.2156762,2.24342279937672
"HYAL1","HYAL1",3.30754518783965,0.00472093903448286,0.975978114550911,23.45362,10.891018,2.15348280573956
"A1BG","A1BG",3.34760083589821,0.0050395933993173,0.975978114550911,1451.0731,1117.967,1.29795700588658
"DIAPH2","DIAPH2",3.34029087639718,0.00529673767260702,0.975978114550911,16.6811157,10.5120851,1.58685128034209
"LIMS3","LIMS3",3.23560659378249,0.00558572974692384,0.975978114550911,44.872085,26.448147,1.69660600419379
"BCL2L13","BCL2L13",-3.10958826887642,0.00622979498883221,0.975978114550911,55.205241,76.059339,0.725818048458191
"RNF187","RNF187",-3.08163729039578,0.00653111102762923,0.975978114550911,2033.2903,2286.5987,0.889220439073984
"SLC16A14","SLC16A14",3.44877000712829,0.00673409419196838,0.975978114550911,9.0790791,3.0022043,3.02413766444875
"LCN10","LCN10",-2.98930777254493,0.00787068383768606,0.975978114550911,11.9167099,18.9577119,0.628594313641827
"NKPD1","NKPD1",-3.0209832574472,0.00812219209826145,0.975978114550911,71.004828,92.835211,0.764848027328769
"HLF","HLF",3.05489851494501,0.00860674534217956,0.975978114550911,22.0855361,12.0333467,1.83536107207814
"PIGA","PIGA",3.1134468842732,0.00878817968708732,0.975978114550911,37.568163,22.297471,1.68486206350487
"MTSS1L","MTSS1L",3.08627875260818,0.00885584388153325,0.975978114550911,40.499936,21.2830111,1.90292321935593
"DUSP21","DUSP21",-2.92885600866076,0.00900924402281312,0.975978114550911,4.4855559,6.4774725,0.692485518078232
"BCLAF1","BCLAF1",2.90043725626479,0.00958169454432661,0.975978114550911,400.4971,328.68268,1.21849164671531
"HIST1H3H","HIST1H3H",-2.86675564465451,0.0103766305038448,0.975978114550911,212.78992,298.87553,0.711968356860798
"MZT2B","MZT2B",2.85878614186101,0.0105899392545631,0.975978114550911,18776.284,14300.597,1.31297203885964
"ZKSCAN5","ZKSCAN5",-2.84415577494184,0.0107833230399715,0.975978114550911,52.907998,78.337917,0.675381731173679
"ANXA8","ANXA8",3.01831230225508,0.0109384365508316,0.975978114550911,47.639545,20.2894105,2.34800045077702
"GLTPD2","GLTPD2",2.85136995312125,0.0109957954085646,0.975978114550911,13.8812631,6.6400886,2.09052377704719
"SSX1","SSX1",2.96447951508238,0.0111112797164878,0.975978114550911,7.2568858,4.165132,1.74229431384167
"NTAN1","NTAN1",2.8544912516585,0.0112111133873947,0.975978114550911,201.38021,164.57364,1.22364802771574
"BMP3","BMP3",-3.09915937400778,0.0118539030605041,0.975978114550911,2.1773805,2.5878546,0.841384403899663
"ZNF347","ZNF347",-2.88450300745456,0.0121196294205978,0.975978114550911,5.0436047,9.7374359,0.517960246598388
"SLC9A2","SLC9A2",-2.78814902827634,0.0123846659934326,0.975978114550911,2.3160165,2.6223056,0.883198548635979
"DMRTC2","DMRTC2",3.07683043698487,0.0127065800069639,0.975978114550911,22.2541716,4.4215625,5.03310121704714
"CTLA4","CTLA4",2.95784960590627,0.0127480517189202,0.975978114550911,342.34049,190.325687,1.79870881012504
"PLEKHA6","PLEKHA6",2.81411014315148,0.0128778388970111,0.975978114550911,30.857032,17.109991,1.80345109474342
"SPAG4","SPAG4",2.76220226788841,0.0129273276505432,0.975978114550911,16.0820466,9.9234497,1.62061048185693
"SPRED1","SPRED1",-2.81754809781739,0.0132644324690575,0.975978114550911,7.8559846,16.9361208,0.463859740537514
"RBBP6","RBBP6",2.82921413797865,0.0134033386381089,0.975978114550911,478.7389,352.33133,1.35877470788647
"BTLA","BTLA",-2.73150442065251,0.0137036017959442,0.975978114550911,147.946557,224.224135,0.659815487748453
"MTRNR2L2","MTRNR2L2",2.76592199030335,0.0139251146320927,0.975978114550911,306422.45,279630.32,1.09581267868234
"EFCAB5","EFCAB5",2.70770411879636,0.0144520852818639,0.975978114550911,12.2129577,7.3065899,1.67149899845891
"SIGLEC5","SIGLEC5",-2.93332700806661,0.0147447262059348,0.975978114550911,349.25516,581.06114,0.601064390573426
"WASF2","WASF2",-2.68767787960661,0.0150662160315901,0.975978114550911,9790.9282,11293.6962,0.8669374513545
"HMGCS1","HMGCS1",2.69437498058581,0.0151358395760541,0.975978114550911,13.9404555,7.681183,1.81488391827144
"COL3A1","COL3A1",-2.91710899302242,0.0152119415928654,0.975978114550911,2.1643107,2.4761694,0.874055991484266
"PP2D1","PP2D1",2.6835201423188,0.0152160148363377,0.975978114550911,11.1054274,6.2991127,1.76301455917752
"GCG","GCG",2.70699375560628,0.0154164056199622,0.975978114550911,9.513428,5.5785938,1.70534517139427
"TBC1D2B","TBC1D2B",2.74444478663055,0.0162597498247304,0.975978114550911,236.61202,133.928116,1.76670909041982
"CCDC109B","CCDC109B",2.7660932346129,0.017403810294881,0.975978114550911,547.33949,326.52853,1.67623787728441
"MYL9","MYL9",2.64332162176243,0.0175051710242054,0.975978114550911,1151.52476,848.38778,1.35730946053938
"THTPA","THTPA",-2.60793045851775,0.0178070332095403,0.975978114550911,477.8175,580.56206,0.823025707191407
"PIK3R1","PIK3R1",2.66430058821125,0.0181038790742955,0.975978114550911,2741.7096,1713.69434,1.59988250880259
"FAM124A","FAM124A",-2.67957570105545,0.0181784024331108,0.975978114550911,6.9582347,10.3748886,0.670680425426447
"PSTK","PSTK",2.65262748840745,0.0182983796021209,0.975978114550911,116.133854,69.269254,1.67655701907805
"SLFN14","SLFN14",-2.59116243566457,0.0184401439583471,0.975978114550911,8.0930568,12.3062438,0.657638263269252
"TCTE1","TCTE1",2.74153043592651,0.0184950888988542,0.975978114550911,17.7472164,10.5099746,1.68860697341742
"PMP22","PMP22",2.63187392510306,0.0185438270941466,0.975978114550911,233.12548,159.993651,1.45709206923467
"MZT2A","MZT2A",2.58530508888564,0.0186748278140753,0.975978114550911,13899.4047,10628.8437,1.30770619009103
"GINS3","GINS3",-2.58082420935724,0.0189028252776912,0.975978114550911,12.739578,26.2274784,0.485734000261344
"LACTB","LACTB",2.66046164645772,0.0190464004910579,0.975978114550911,20.1433782,8.7909708,2.29137130110818
"GZMK","GZMK",2.68165999531331,0.0194460771239908,0.975978114550911,827.03745,465.86312,1.77527993630404
"CEND1","CEND1",-2.60377644356372,0.0196013940871026,0.975978114550911,3.3045544,5.3380263,0.619059220446329
