"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"HBA1","HBA1",-15.5909017976362,2.40168098827588e-14,1.26773743692378e-09,12391.5,51288.2166666667,0.241605203014468
"HBB","HBB",-15.1549841278367,8.42723395979817e-14,1.53583529839335e-09,11065.6533333333,52962.7166666667,0.208932887694897
"ALYREF","ALYREF",10.9119739802893,5.47894851155661e-11,3.21980403892883e-07,413.333333333333,98.7833333333333,4.18424160620887
"STT3A","STT3A",10.9390048153276,6.23624991923004e-11,3.21980403892883e-07,133.313333333333,45.7583333333333,2.91342196321253
"ATAD2B","ATAD2B",11.461057516582,6.47800498010336e-11,3.21980403892883e-07,99.94,53.4166666666667,1.87095163806552
"HINT3","HINT3",11.7693797530418,1.46540445892947e-10,6.19525781929923e-07,455.186666666667,63.375,7.18243261012492
"TMEM168","TMEM168",10.5353736339851,1.47306492392892e-10,6.19525781929923e-07,148.813333333333,81.5166666666667,1.82555714577796
"RPN1","RPN1",10.4910580061395,6.60876647173186e-10,2.58091212911048e-06,809.72,369.675,2.19035639412998
"TET3","TET3",9.60404499652728,9.9395484441559e-10,3.62289914423853e-06,461.326666666667,249.4,1.84974605720396
"GLUD1","GLUD1",11.3117357587089,1.97818811346488e-09,6.73699670008889e-06,369.8,192.475,1.92128847902325
"MKLN1","MKLN1",10.0490039029752,2.09476065225722e-09,6.73699670008889e-06,231.4,134.875,1.71566265060241
"COPG1","COPG1",9.53022683614567,3.18223166029866e-09,9.66585187750938e-06,100.306666666667,43.4583333333333,2.30811121764142
"CAPZA2","CAPZA2",9.00881925920123,3.44363983331088e-09,9.9093454866547e-06,1382,690.3,2.00202810372302
"NDRG3","NDRG3",8.89576318170103,4.31749012741263e-09,1.08177971930481e-05,89.6733333333333,40.925,2.1911626959886
"PSMB4","PSMB4",9.13985089184968,4.35794157168384e-09,1.08177971930481e-05,1866.82,1098.96666666667,1.69870484394431
"PSMD5","PSMD5",8.8476519031657,4.55077981197838e-09,1.08177971930481e-05,257.973333333333,200.083333333333,1.28932944606414
"OSBP","OSBP",9.77576513063131,5.35716115726464e-09,1.22040595463453e-05,160.046666666667,95.7583333333333,1.67136019493517
"THOC6","THOC6",8.76229593570667,5.71652146994748e-09,1.25018037939164e-05,86.96,43.8083333333333,1.98501046224082
"TRMT1L","TRMT1L",9.57304049835669,6.38341507092376e-09,1.34233398302956e-05,92.1466666666667,59.7416666666667,1.54241874738457
"STAT2","STAT2",9.80643349388239,6.72133286342693e-09,1.36104501101853e-05,62.0533333333333,19.975,3.10654985398415
"MRPL23","MRPL23",8.58768944788815,7.26299373797419e-09,1.41721203692263e-05,329.84,195.516666666667,1.68701730457761
"KPNA1","KPNA1",8.4935282913481,7.84533407010371e-09,1.41721203692263e-05,167.113333333333,100.333333333333,1.66558139534884
"SERPINB9","SERPINB9",8.56630681131578,7.96966363064481e-09,1.41721203692263e-05,32.6466666666667,10.9,2.99510703363914
"APAF1","APAF1",8.61499665822338,8.03555129396082e-09,1.41721203692263e-05,966.726666666667,591.983333333333,1.63303020918382
"PTEN","PTEN",8.5638496774935,8.72778411751687e-09,1.49119646512849e-05,363.6,237.791666666667,1.52906956369371
"PPP4R3A","PPP4R3A",8.59673463362599,9.2914965320911e-09,1.53940388301681e-05,475.74,277.075,1.7170080303167
"GAPVD1","GAPVD1",8.33730253376213,1.12578997401796e-08,1.73601398861405e-05,99.5866666666667,57.025,1.74636855180476
"GLTP","GLTP",9.09775864340569,1.14198254929748e-08,1.73601398861405e-05,818.753333333333,506.441666666667,1.61667845918418
"DDX3X","DDX3X",8.34585916995631,1.17426746292375e-08,1.73601398861405e-05,323.64,119.783333333333,2.70187839154028
"EIF4E2","EIF4E2",8.73712032663974,1.17482747885137e-08,1.73601398861405e-05,167.973333333333,102.391666666667,1.64049808740946
"RLIM","RLIM",8.48932091950924,1.26599234705455e-08,1.81993745183652e-05,238.86,167.375,1.42709484690067
"SNAPC3","SNAPC3",8.24306067996485,1.38773495274881e-08,1.81993745183652e-05,196.513333333333,120.025,1.6372700131917
"GATD3A","GATD3A",10.2175216109538,1.4576832707302e-08,1.81993745183652e-05,72.5333333333333,25.8833333333333,2.80231809401159
"NRAS","NRAS",8.2157667522699,1.46365719902124e-08,1.81993745183652e-05,224.086666666667,148.008333333333,1.51401385057148
"SLC16A1","SLC16A1",9.20876953522529,1.46595929445189e-08,1.81993745183652e-05,92.0133333333333,41.1166666666667,2.23785974868261
"QSER1","QSER1",8.75301634037632,1.50793579838859e-08,1.81993745183652e-05,307.233333333333,169.908333333333,1.8082299279023
"G3BP1","G3BP1",9.28101645668032,1.52602971335092e-08,1.81993745183652e-05,125.153333333333,60.4666666666667,2.06979051819184
"ARPC4","ARPC4",8.20326554460173,1.52654006662305e-08,1.81993745183652e-05,306.486666666667,126.283333333333,2.42697637587436
"ANTXR2","ANTXR2",8.18988422028455,1.53120537704357e-08,1.81993745183652e-05,81.8466666666667,46.6,1.75636623748212
"ARMC10","ARMC10",8.21614705226064,1.57273801007511e-08,1.82952931835844e-05,316.026666666667,240.283333333333,1.31522508150101
"LMBR1","LMBR1",8.48824317884729,1.67022677620243e-08,1.87799049138427e-05,75.6066666666667,45.8666666666667,1.6484011627907
"SNRNP40","SNRNP40",9.49683444848922,1.74519471691394e-08,1.90833551905106e-05,139.553333333333,42.45,3.28747546132705
"PDIA4","PDIA4",8.22825882303315,1.85530509851546e-08,1.95808037872249e-05,288.853333333333,173.175,1.66798517876907
"SETX","SETX",8.22247696298428,1.86231444001846e-08,1.95808037872249e-05,506.213333333333,358.275,1.4129183820622
"ATF2","ATF2",9.27242804489234,2.08137056847486e-08,2.14711046152443e-05,96.82,43.0166666666667,2.25075552111585
"CLTA","CLTA",8.4867506544909,2.12336370784225e-08,2.14986643264013e-05,1322.38666666667,795.016666666667,1.66334458397099
"IDH3A","IDH3A",8.13662365328385,2.38094462371737e-08,2.36683211558406e-05,124.973333333333,59.0666666666667,2.11580135440181
"MTDH","MTDH",9.24500487264924,2.5654869485302e-08,2.50473988257036e-05,1392.64666666667,1068.94166666667,1.3028275630881
"HIPK3","HIPK3",8.01085110424139,2.63434332270014e-08,2.52684362851417e-05,223.56,92.8166666666667,2.40861914167714
"DNAJC14","DNAJC14",7.99935180181991,2.77363118965223e-08,2.6145777872939e-05,83.1933333333333,33.6083333333333,2.475378130424
"ZNF644","ZNF644",7.92943723712989,2.86391327234674e-08,2.62991101140787e-05,74.82,36.5833333333333,2.04519362186788
"ARF6","ARF6",8.96284945952812,2.94986425596736e-08,2.62991101140787e-05,369.706666666667,98.8833333333333,3.73881678745997
"LRIG2","LRIG2",7.89701656525171,2.97815784088738e-08,2.62991101140787e-05,171.28,98.325,1.74197813374015
"UBE4B","UBE4B",8.02508663289775,2.98230388680703e-08,2.62991101140787e-05,186.24,112.925,1.64923621872925
"HCCS","HCCS",7.97613814430938,3.04060668032013e-08,2.63876396253687e-05,224.853333333333,161.775,1.38991397517128
"APPBP2","APPBP2",8.00990076719207,3.29556851193825e-08,2.81534238783925e-05,80.0666666666667,51.7166666666667,1.54817918143732
"PRDX1","PRDX1",8.32082252587625,3.3526297514077e-08,2.82002583120715e-05,894.733333333333,488.416666666667,1.83190581811977
"RYK","RYK",8.02865729528501,3.49783777220719e-08,2.89758761147963e-05,47.6133333333333,26.1416666666667,1.82135798533631
"ARFGEF1","ARFGEF1",9.32522279317729,3.55876231264514e-08,2.90405627882926e-05,149.533333333333,81.1583333333333,1.84248896190574
"TMOD3","TMOD3",7.82074791208067,3.68377836958463e-08,2.96186615556868e-05,88.4266666666667,50.7833333333333,1.74125369215622
"APLP2","APLP2",7.85061176772123,3.74943003832467e-08,2.97096141906323e-05,1298.18666666667,491.741666666667,2.63997695266824
"SMG8","SMG8",7.97502684088317,4.11342163511997e-08,3.16756640110632e-05,155.5,91.3166666666667,1.70286548640263
"TMEM199","TMEM199",8.88321633822689,4.38664780784062e-08,3.33104975341497e-05,113.233333333333,66.9416666666667,1.69152246981203
"TOR1AIP1","TOR1AIP1",7.96648628522422,4.72419946912832e-08,3.53823125719345e-05,382.58,242.641666666667,1.57672837174159
"MAT2A","MAT2A",8.27831264799051,5.00424608223521e-08,3.69732635540713e-05,138.713333333333,45.2916666666667,3.06266789328427
"CLASP2","CLASP2",8.74835723856213,5.71693448363541e-08,4.11175797910013e-05,220.433333333333,144.45,1.52601823006807
"RBBP4","RBBP4",9.05819698951178,5.85325702116173e-08,4.11175797910013e-05,512.28,231.75,2.2104854368932
"EFCAB14","EFCAB14",8.43150826346045,5.86598972765502e-08,4.11175797910013e-05,365.16,238.258333333333,1.53262215382463
"CSNK1A1","CSNK1A1",7.87070328048805,6.01248976616145e-08,4.14366173585529e-05,244.22,133.041666666667,1.83566551832133
"CNOT2","CNOT2",-8.04952080562718,6.06308188295028e-08,4.14366173585529e-05,1082.71333333333,1505.10833333333,0.719359071606141
"GLIPR2","GLIPR2",7.56929454728273,6.47997938639278e-08,4.2542472056973e-05,993.76,529.266666666667,1.87761682831591
"DCAF1","DCAF1",7.93601894520791,6.89214952903296e-08,4.38164399244591e-05,190.213333333333,124.275,1.53058405418092
"CCDC6","CCDC6",7.65780925307936,6.98414358081695e-08,4.38171837657376e-05,72.88,53.2166666666667,1.36949577200125
"TP53","TP53",7.94253819352333,7.07140492647874e-08,4.38171837657376e-05,90.1466666666667,37.3,2.41680071492404
"SAFB","SAFB",7.68019855315208,7.18324936247705e-08,4.38171837657376e-05,67.2333333333333,28.425,2.36528877162123
"VPS29","VPS29",7.9603857035735,7.2128370686549e-08,4.38171837657376e-05,149.126666666667,87.925,1.69606672353331
"GSK3B","GSK3B",9.08957277022469,7.53797139466778e-08,4.52891261573699e-05,450.026666666667,255.808333333333,1.75923380134867
"LIN7C","LIN7C",7.48524241045876,7.89489622731866e-08,4.67192948078626e-05,194.26,104.075,1.86653855392746
"TIRAP","TIRAP",7.54284916164328,7.94691154320376e-08,4.67192948078626e-05,48.4533333333333,20.6166666666667,2.35020210185934
"MPP7","MPP7",7.46989366572612,8.17152449446996e-08,4.70681726626516e-05,100.266666666667,48.1666666666667,2.08166089965398
"SSH1","SSH1",7.51456646909809,8.17843289854758e-08,4.70681726626516e-05,152.333333333333,94.3666666666667,1.61427057576828
"ANXA5","ANXA5",7.48132457032329,9.02107713754528e-08,5.04341976581141e-05,2115.59333333333,1259.73333333333,1.67939775613887
"TOMM22","TOMM22",8.47788080443426,9.04003981873502e-08,5.04341976581141e-05,160.653333333333,54.3583333333333,2.95544994634371
"MON1B","MON1B",7.72862450004311,9.15206992569558e-08,5.05434617290384e-05,733.546666666667,503.291666666667,1.45749813726302
"PER2","PER2",7.70398382024135,9.3626463932394e-08,5.09431655039946e-05,116.886666666667,79.1833333333333,1.47615238897074
"TOLLIP","TOLLIP",7.52204033357112,9.44430461666156e-08,5.09431655039946e-05,33.7,20.0916666666667,1.67731231854003
"TMEM192","TMEM192",-8.36463975891764,9.50397424993132e-08,5.09431655039946e-05,107.38,174.483333333333,0.615416945266979
