"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"HBD","HBD",6.24507678259489,3.96334473451225e-09,0.000216695873359457,10.2341279487179,9.62463282051282,1.06332658497955
"AHSP","AHSP",6.07302747782831,1.05891145630349e-08,0.000289479919366968,7.92123346153846,7.04674692307692,1.12409790616969
"UQCR11","UQCR11",5.89091178967519,2.33346222847141e-08,0.000425273491138915,9.41780705128205,9.03524307692308,1.04234130405811
"MMP8","MMP8",5.54487945696912,1.28523121515909e-07,0.00141618816729089,5.86157961538462,4.67127551282051,1.25481350849404
"LTF","LTF",5.54573886499678,1.29509663218188e-07,0.00141618816729089,9.78551820512821,8.80205948717949,1.11173052390536
"BRD3","BRD3",-5.41401662402307,2.43568299680978e-07,0.00221951613084291,7.40485782051282,7.6266632051282,0.970917112943149
"GYPB","GYPB",5.26153486382665,4.73611530833758e-07,0.00369924434976224,7.03409038461538,6.32662935897436,1.1118227393292
"KLF13","KLF13",-5.21945500119385,6.53136925369508e-07,0.00446378267432223,8.96679153846154,9.11293025641026,0.983963586482414
"ZEB1","ZEB1",-5.11176780614497,9.95290508876288e-07,0.00604638984142345,5.67252987179487,6.0226832051282,0.941860907936319
"S100A8","S100A8",5.05600531428176,1.20157045091033e-06,0.00656958644035221,11.416758974359,11.171391025641,1.0219639566957
"LCN2","LCN2",4.99724142105108,1.57764334962954e-06,0.0071881375117496,9.49024948717949,8.64623794871795,1.09761604335521
"ZFP36L2","ZFP36L2",-4.97007329704026,2.00119039160435e-06,0.0078784681079762,10.8115838461538,10.9719179487179,0.985386866424494
"PPBP","PPBP",4.94147506591742,2.01734894397196e-06,0.0078784681079762,10.1337094871795,9.49960141025641,1.06675101928366
"GYPA","GYPA",4.93078970267769,2.18302479599811e-06,0.0079571253814131,5.52550807692308,4.99483717948718,1.10624388310699
"TRIM10","TRIM10",4.89085433307861,2.64863490355205e-06,0.00818477584198895,4.19113846153846,3.84331961538462,1.09049958914724
"FOXN3","FOXN3",-4.88818015789749,2.69457640888525e-06,0.00818477584198895,10.4146496153846,10.5409282051282,0.988020164136764
"COX7C","COX7C",4.78520888004666,3.98732707378555e-06,0.00926213678277462,9.59656474358974,9.20474064102564,1.04256764181032
"GUK1","GUK1",4.7882596593425,4.0166487286505e-06,0.00926213678277462,10.6698647435897,10.3660191025641,1.0293116998936
"TNS1","TNS1",4.78420378795868,4.06568418448269e-06,0.00926213678277462,6.90200179487179,6.50912371794872,1.06035805954029
"NDUFA4","NDUFA4",4.74737857178142,4.68565760259675e-06,0.010063636250914,8.56099615384615,8.1151508974359,1.05493986027433
"GSPT1","GSPT1",4.71912291614251,5.2939014579445e-06,0.0105595467139679,10.5207948717949,10.2621784615385,1.02520092699866
"RNASE2","RNASE2",4.7062827765347,5.76415225958821e-06,0.0105595467139679,9.83280076923077,9.36177320512821,1.05031392598194
"ZNF236","ZNF236",-4.71725746677538,5.86550464273285e-06,0.0105595467139679,7.92419525641026,8.17208128205128,0.969666720498061
"GSTO1","GSTO1",4.68229971968133,6.18025596427934e-06,0.0105595467139679,9.88953602564102,9.72745833333333,1.01666187474197
"SOX6","SOX6",4.6694116802937,6.54319951037441e-06,0.0108408919160522,6.27205243589744,5.48320179487179,1.14386678997724
"CRISP3","CRISP3",4.6247731656987,8.11254504892977e-06,0.0126729543014353,6.17891346153846,5.2301982051282,1.18139183625585
