"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"SUPT4H1","SUPT4H1",10.3864636393922,1.08329177419058e-16,3.6087622521022e-12,9.34566425804444,8.82522073709302,1.05897229502305
"HACD4","HACD4",10.2480976961095,1.43650457199782e-16,3.6087622521022e-12,9.89813395788889,9.26313608027907,1.06855106867767
"MLXIP","MLXIP",-10.2001774785196,1.98236441072759e-16,3.6087622521022e-12,8.61177156891111,9.03398618472093,0.953263752326309
"SFT2D1","SFT2D1",9.91520561748278,1.0555628009105e-15,1.33533166550666e-11,9.87200442857778,9.42021641139535,1.04795940957746
"CLIC1","CLIC1",9.82266622216154,1.22254011453927e-15,1.33533166550666e-11,11.9385964295556,11.5232041006977,1.03604833562158
"LAMTOR5","LAMTOR5",9.68067909389454,2.94257289888059e-15,1.99492981463298e-11,9.98467947511111,9.55455187269767,1.04501808228626
"MGAT5","MGAT5",-9.64274285054651,3.04650679958366e-15,1.99492981463298e-11,8.93612863655556,9.34767825106977,0.955973065882203
"BLOC1S1","BLOC1S1",9.65807165598495,3.17418943671859e-15,1.99492981463298e-11,8.30161258268889,7.76744402393023,1.06877018451797
"TXN","TXN",9.60327922709887,3.28756309517821e-15,1.99492981463298e-11,9.59455645217778,8.70258050653488,1.10249556955814
"CNIH4","CNIH4",9.49221842789058,4.98704139110018e-15,2.16089585156302e-11,8.42741769746667,7.39422570297674,1.13972957223553
"PTBP1","PTBP1",-9.47543714703077,5.29742351339742e-15,2.16089585156302e-11,10.0900113657778,10.4112215562791,0.969147694267675
"PUM1","PUM1",-9.51668256982173,5.53943967954191e-15,2.16089585156302e-11,8.95845689353333,9.30478012611628,0.962780073479555
"BUD31","BUD31",9.3640089631252,8.95176603575256e-15,3.12499872179524e-11,8.98468819748889,8.69816897555814,1.03294017657462
"C1GALT1C1","C1GALT1C1",9.42218657302092,9.58863607082499e-15,3.12499872179524e-11,7.87338414824444,7.09546924827907,1.10963544097581
"POLB","POLB",9.34257964894706,1.01541900793178e-14,3.12499872179524e-11,9.46802752686667,8.96670661223256,1.05590914661468
"CD58","CD58",9.33032063106994,1.08589400098118e-14,3.12499872179524e-11,7.99259432293333,7.06288255286047,1.13163347445107
"AP3D1","AP3D1",-9.27701317827834,1.35051500317214e-14,3.51217504134476e-11,9.50774828655556,9.81597912665116,0.968599073396689
"PRRC1","PRRC1",-9.3133121568672,1.41978027113167e-14,3.52447545215064e-11,7.36997862584444,7.70131664581395,0.956976445040783
"MYL6","MYL6",9.19707504824059,1.99516669967039e-14,4.6519285043087e-11,12.3470228468889,11.7696708669767,1.04905421625103
"MYL12B","MYL12B",9.1895710483927,2.04431699601576e-14,4.6519285043087e-11,11.315528008,10.9560892074419,1.03280721740692
"C4orf3","C4orf3",9.17626183474088,2.52110807484957e-14,5.32899008486207e-11,9.97539641666667,9.54665974293023,1.04490960035042
"EAPP","EAPP",9.03091756181543,4.26357038537162e-14,8.62393960949261e-11,9.19557757982222,8.7711712685814,1.04838650372283
"HNRNPC","HNRNPC",9.02197921781889,4.64705788526296e-14,8.7906602933895e-11,11.1579610997778,10.8776560909302,1.02576887948142
"SRGN","SRGN",9.02061238960677,5.01299293613269e-14,9.12581944070049e-11,13.073075944,12.5713312737209,1.03991181676422
"CLUH","CLUH",-8.94667579769248,6.59753985245564e-14,1.09185286049139e-10,7.64516402177778,7.95501287986047,0.961049860916363
"N4BP2L2","N4BP2L2",9.05517113822272,7.34080104987468e-14,1.15730402381612e-10,7.25793909084444,6.60605586346512,1.09867964196073
"RPN2","RPN2",-8.90579715514567,7.82494598064987e-14,1.18706604122564e-10,10.1418456123111,10.4043134427907,0.974773171538632
"DPH3","DPH3",8.8665409904161,1.02870782245024e-13,1.51840054885067e-10,7.60869449095556,6.7626501295814,1.125105446114
"NDUFB3","NDUFB3",8.97077290492969,1.13019135861923e-13,1.58669492511123e-10,8.49987012886667,7.50549996930233,1.13248553242707
"S100A8","S100A8",8.83390981659048,1.14811180300743e-13,1.58669492511123e-10,12.7704137871111,11.6982799011628,1.09164884880569
"UBL5","UBL5",8.84166945325615,1.1621371652253e-13,1.58669492511123e-10,10.0019708755111,9.32417801632558,1.07269196898631
"CKLF","CKLF",8.93792740825681,1.24573803803166e-13,1.62838488746322e-10,10.1728976374889,9.45976316995349,1.07538608046769
"REEP5","REEP5",8.83259522978249,1.25310471314454e-13,1.62838488746322e-10,9.79374882591111,9.38026581816279,1.04408009493161
"H2AZ1","H2AZ1",8.79804658146901,1.28212239138884e-13,1.62838488746322e-10,11.1099603482222,10.7630669176744,1.03222997991197
"LY96","LY96",8.75633554450712,1.5831945101807e-13,1.8672417427556e-10,8.53056186697778,7.25210742160465,1.17628730120082
"MED30","MED30",8.84451978922413,1.60695002855571e-13,1.8672417427556e-10,8.5868367046,8.14157847513954,1.05468942304248
"C18orf32","C18orf32",9.06311221205846,1.74565526230798e-13,1.93269737716854e-10,8.38941774135556,7.64160363604651,1.09786088639582
"NISCH","NISCH",-8.73102405514225,1.75402801176597e-13,1.93269737716854e-10,9.64063731108889,9.93293957081395,0.970572431490076
"STK17B","STK17B",8.80707130284432,1.78586860775563e-13,1.93269737716854e-10,8.56850734895556,7.83997473295349,1.09292537805509
"HINT3","HINT3",8.80270532419672,1.83234389949361e-13,1.93269737716854e-10,5.58342472333333,4.86059695495349,1.14871172719705
"GLG1","GLG1",-9.03388949591349,1.84022601967964e-13,1.93269737716854e-10,9.25989289235556,9.82085508030233,0.942880514643588
"SELENOT","SELENOT",8.77539989360625,1.88325281945952e-13,1.94056766470081e-10,9.88801426615556,9.27043217683721,1.06661847878693
"B2M","B2M",8.76128991585187,2.04138354423136e-13,2.06455702779828e-10,13.7523742551111,13.4636581888372,1.02144410250353
"NCOR2","NCOR2",-8.63164841312931,2.77665988716757e-13,2.66038116522601e-10,8.840322507,9.25396889590698,0.95530065061166
"POM121C","POM121C",-8.62665562202594,2.83944836090087e-13,2.6736343678255e-10,10.1926156784667,10.6286865426279,0.95897227165254
"HIPK2","HIPK2",-8.72945539146268,3.04065384566165e-13,2.81456319445966e-10,7.6121392594,7.98094653369767,0.953789030819782
"MYL12A","MYL12A",8.60116005137917,3.33601829055428e-13,3.01971379686263e-10,11.9625641333333,11.7919689683721,1.01446706359377
"SMARCA4","SMARCA4",-8.58937577544996,3.37286985898266e-13,3.01971379686263e-10,8.25132031664444,8.558266961,0.964134485900672
"TRIM69","TRIM69",8.59106640738321,3.49285701836097e-13,3.07670000554432e-10,8.91945815153333,8.44271744830233,1.05646768426757
"MED28","MED28",8.56103183274148,3.85116919240424e-13,3.31621198099638e-10,6.9931889134,6.60603999813953,1.05860529384768
"HMGB2","HMGB2",8.77043060538725,3.95236810482303e-13,3.32077968167231e-10,9.94519699291111,9.11927397197674,1.09056894479455
"ARPP19","ARPP19",8.72937423825647,4.30632367134912e-13,3.56335234338469e-10,7.77794054008889,7.14775054323256,1.0881661990083
"ESYT1","ESYT1",-8.60718317863594,5.02932261510779e-13,4.099498447446e-10,9.28004790844444,9.77907889423256,0.948969530649515
"METTL16","METTL16",-8.48454058091335,5.54329552817311e-13,4.45199998058997e-10,8.37700572508889,8.7233271112093,0.960299392455959
"TMEM59","TMEM59",8.47734052317476,5.75560325492992e-13,4.55551826900707e-10,10.9874550406667,10.6653074453488,1.03020518601724
"DCHS1","DCHS1",-8.55968162167847,5.9478294620204e-13,4.58527299639741e-10,5.85641317193333,6.45356095118605,0.907470033401797
"CHCHD1","CHCHD1",8.65981058322722,5.96111516935924e-13,4.58527299639741e-10,8.46925809193333,7.97241980930233,1.06231963375176
"S100A9","S100A9",8.45232514046615,6.48080455441532e-13,4.82048561496032e-10,13.2188558886667,12.6873450016279,1.04189299549831
"C8orf76","C8orf76",8.55909200408092,6.5317037245173e-13,4.82048561496032e-10,7.43465667475556,7.0622922615814,1.05272571558668
"CLEC4D","CLEC4D",8.46145502685858,6.67668531502417e-13,4.86178420145887e-10,6.84883908593333,5.53410120427907,1.23757026355747
"CKS2","CKS2",8.48522818761291,6.91208385124032e-13,4.96696888641826e-10,6.60998911211111,5.51560717046512,1.19841549766382
"MS4A4A","MS4A4A",8.42045721519276,7.47800126384412e-13,5.30384523405609e-10,6.74153981193333,5.3193955512093,1.2673507256667
"TNFSF10","TNFSF10",8.37817734907776,9.06390545815832e-13,6.18758835983e-10,9.5458997146,8.8068716197907,1.0839149390061
"MPC2","MPC2",8.44712181178302,1.03803897258937e-12,6.91346614756384e-10,9.06737997457778,8.74766780674419,1.0365482749113
"MAGED1","MAGED1",-8.36484442029004,1.06517339855171e-12,7.00871262832588e-10,8.143483814,8.52031967995349,0.955772097748855
"STARD3NL","STARD3NL",8.50911112300184,1.0928549483905e-12,7.10524848767264e-10,9.08542541111111,8.49903849227907,1.06899450089145
"HTATIP2","HTATIP2",8.37434896124308,1.22014612958414e-12,7.71078576709341e-10,8.0048317988,7.63175224018605,1.04888517693872
"PRPF8","PRPF8",-8.42880643060098,1.2443905579625e-12,7.71078576709341e-10,9.27740470184444,9.69333936362791,0.957090673690414
"GTF3C2","GTF3C2",-8.32939429255393,1.25080187559986e-12,7.71078576709341e-10,8.86981302768889,9.106479519,0.974011198200432
"MCTS1","MCTS1",8.35660125708854,1.25485666971669e-12,7.71078576709341e-10,8.07319923453333,7.46857583104651,1.08095564899715
"CRIPT","CRIPT",8.32933243114368,1.26181473344663e-12,7.71078576709341e-10,7.73798167468889,7.15482772725581,1.08150495996033
"RAI1","RAI1",-8.30945407278566,1.27070609385752e-12,7.71078576709341e-10,7.76648904306667,8.16166611176744,0.951581323802133
"TMEM167A","TMEM167A",8.33730377410607,1.350663701519e-12,8.10591172868761e-10,8.6452533142,7.80424753111628,1.10776257156511
"ACOT13","ACOT13",8.33370682954876,1.4039580076392e-12,8.30074263410467e-10,7.13169235844444,6.68784312762791,1.06636657325035
"LYRM1","LYRM1",8.3082157279019,1.41352620250075e-12,8.30074263410467e-10,9.14633142051111,8.77931949902326,1.04180414228332
"ANKHD1","ANKHD1",-8.35140211676051,1.43497405684998e-12,8.33704661348385e-10,10.2863161598,10.5723743495349,0.972942862191834
"SDF2","SDF2",8.27751151272979,1.45464091197706e-12,8.36234780271611e-10,8.78757592788889,8.5046778744186,1.03326381758928
"UBAP2","UBAP2",-8.40761667164081,1.50937344586494e-12,8.5327233270211e-10,7.86228847673333,8.20750973639535,0.957938367330694
"BCL2A1","BCL2A1",8.29753615250574,1.5231205730782e-12,8.5327233270211e-10,8.01050060788889,6.566830285,1.21984279480871
"CMTM2","CMTM2",8.29993936679572,1.53114988381533e-12,8.5327233270211e-10,11.5158877577778,10.8249849512791,1.0638248283585
"SUB1","SUB1",8.26932364741351,1.68940752182811e-12,9.25178939169959e-10,8.14291839717778,6.95126455076744,1.17142979348682
"FAM32A","FAM32A",8.21179143442503,2.03789005000332e-12,1.09665804703147e-09,9.17343998235556,8.96928643181395,1.02276140383002
"USP7","USP7",-8.27730819337008,2.07547286177294e-12,1.09665804703147e-09,9.23353003502222,9.49492311183721,0.97247022711652
"HUWE1","HUWE1",-8.20313111112053,2.12284359547726e-12,1.10414149790286e-09,8.23077902615556,8.5949856665814,0.957625683793525
"ND4","ND4",-8.60129728898436,2.15746291658659e-12,1.11156153078815e-09,13.2407652908889,13.5642342297674,0.976152804987053
"PSMD9","PSMD9",8.19996837823777,2.39602762067948e-12,1.21332791689977e-09,9.11017787786667,8.86530169074419,1.02762186732778
"ORC4","ORC4",8.40908597176903,2.39941799617628e-12,1.21332791689977e-09,8.05835206491111,7.48200216930233,1.07703150608182
"USP11","USP11",-8.16165470486533,2.83949364922875e-12,1.40975696968481e-09,8.26785639931111,8.66552551030233,0.95410906003122
"REPIN1","REPIN1",-8.14102913420051,2.87179201608756e-12,1.41294754391522e-09,9.29417071382222,9.56366983304651,0.971820532920004
"MAGOH","MAGOH",8.27431079255521,3.06575222401392e-12,1.49491005544707e-09,7.18030355286667,6.58488433844186,1.09042212191167
"GORASP2","GORASP2",-8.12841381544392,3.26160371369194e-12,1.57633596120228e-09,8.64460891046667,8.89361752630233,0.972001425168192
"PSMA6","PSMA6",8.13334372836437,3.32734206345322e-12,1.59400115887167e-09,9.65706722953333,8.65903158048837,1.11525949983759
"SUPT5H","SUPT5H",-8.28103382053523,3.42939685216523e-12,1.61456595075258e-09,8.28292396704444,8.56727101525581,0.966810078996564
"OSER1","OSER1",8.07829135777511,3.68072168982893e-12,1.70351909870023e-09,8.91180787611111,8.47695494767442,1.05129824696733
"EVI2A","EVI2A",8.08078183815214,3.80689760383831e-12,1.73949864263081e-09,10.0493451236889,8.80928174402326,1.14076781918196
"LAMTOR3","LAMTOR3",8.11172893891068,3.82216390082394e-12,1.73949864263081e-09,8.72430161031111,7.861199261,1.10979270727725
"ANXA3","ANXA3",8.0877732192788,3.9330054776492e-12,1.76143937176897e-09,8.78882475744444,7.60760595283721,1.15526813716826
"KYNU","KYNU",8.06370368105252,3.93488003507982e-12,1.76143937176897e-09,8.74708473457778,7.92009676411628,1.10441639731074
"MYCBP","MYCBP",8.04285738024063,4.36185836851993e-12,1.90589402880529e-09,7.8533877956,7.51117212844186,1.04556088734304
"MRPS36","MRPS36",8.15186203803866,4.36227186934725e-12,1.90589402880529e-09,8.25593782833333,7.87875886230233,1.04787289122855
"POLE4","POLE4",8.03323836779518,4.53885701512518e-12,1.95804941090678e-09,7.36067649406667,6.71635133923256,1.0959338072549
"ATP6V0E1","ATP6V0E1",8.05093417833634,4.55335314275285e-12,1.95804941090678e-09,11.235686004,10.9222920076744,1.0286930615026
"SF3B6","SF3B6",8.10131891948562,4.72381860476633e-12,2.01158133760844e-09,9.09191704686667,8.38594950995349,1.08418456801764
"BLVRA","BLVRA",8.03621121028689,4.87386454028644e-12,2.04751049337433e-09,7.1644181096,6.57497247374419,1.08964990168547
"ZBTB4","ZBTB4",-8.05365673099703,5.10906441328898e-12,2.12993385345764e-09,9.05847054213333,9.52011247225581,0.951508773507894
"ABCF1","ABCF1",-8.07601328054879,5.52299753328832e-12,2.28505654761724e-09,8.2625336198,8.55452745686046,0.965866748510311
"CARD16","CARD16",8.00946083865324,5.57646498513718e-12,2.28983069348343e-09,8.70205574373333,7.83836874276744,1.11018708475062
"SGSM2","SGSM2",-8.01852901858291,5.64976666845676e-12,2.30261721689872e-09,9.35526638271111,9.61852873553488,0.972629665090964
"CAPZA2","CAPZA2",8.01278895591132,6.12140091741497e-12,2.4763560615021e-09,10.4741313840889,9.66328523709302,1.08390998786659
"STX7","STX7",8.03464332844214,6.29229015883031e-12,2.51240153974281e-09,9.0299564514,8.38415055995349,1.07702699120543
"ATP6","ATP6",-8.24008081244592,6.30251059170463e-12,2.51240153974281e-09,13.3222697335556,13.5728825067442,0.981535773770671
"FAM222B","FAM222B",-7.9736302262823,6.50467705329811e-12,2.57420237617225e-09,6.66998524573333,6.92394446448837,0.963321597962325
"YPEL5","YPEL5",8.08803460052615,6.63377104297436e-12,2.60640387028747e-09,10.0935102607333,9.58693611430233,1.05284004612019
"ENGASE","ENGASE",-7.97506884919524,7.18107315699432e-12,2.77204358184291e-09,9.4951995198,9.71269328069767,0.9776072656047
"COQ2","COQ2",7.96831202922603,7.25838595578958e-12,2.77204358184291e-09,7.15738219686667,6.49516333609302,1.10195569018161
"POM121","POM121",-7.95390926501687,7.50323260940365e-12,2.84565307289835e-09,7.72664090295556,8.1082538307907,0.952935251436507
"CSTA","CSTA",7.92657499100495,7.75154701758824e-12,2.91955336049342e-09,9.90290229091111,8.73456969697674,1.13375960516278
"PSMA2","PSMA2",8.03828507102055,7.83166370578398e-12,2.92952499975329e-09,9.2582970638,8.49880288493023,1.08936484221989
"CUL4B","CUL4B",7.91306498890866,7.93886567279678e-12,2.94942361216633e-09,9.5176866144,9.21654309623256,1.03267423751217
"CHD4","CHD4",-7.96767890276742,8.06617769964115e-12,2.97647407236826e-09,9.00893063135556,9.35186785213953,0.963329548042585
"NUP214","NUP214",7.91382992438646,8.20409323160593e-12,3.00704794401137e-09,10.3212068179556,9.80452683318605,1.05269810502437
"NELFCD","NELFCD",-7.90112361449578,8.39081782558662e-12,3.05498489272508e-09,8.41042190037778,8.66964191753488,0.970100262545698
"GLRX","GLRX",7.91900630108073,8.60211104725145e-12,3.09070454357594e-09,9.11628405044444,8.13398856393023,1.12076430631709
"ETFRF1","ETFRF1",8.02749362498232,9.09135836119967e-12,3.22565885672833e-09,8.06206041677778,7.55230702095349,1.06749638149111
"ATP6V1G1","ATP6V1G1",7.89111469965595,9.09584648226911e-12,3.22565885672833e-09,10.4909702177778,9.94876254416279,1.05450001155502
"BTBD10","BTBD10",7.95168433131245,9.21596421082437e-12,3.24717066739194e-09,8.51058376406667,7.97056761818605,1.06775127842194
"ALKBH5","ALKBH5",-7.87634192799696,9.55875508656618e-12,3.29300853427512e-09,10.1024298894222,10.3107803709302,0.979792947380062
"ZNF586","ZNF586",7.8713858379824,9.63733248921221e-12,3.29300853427512e-09,8.26410116877778,7.94393129683721,1.04030370605899
"SYF2","SYF2",7.91366949981746,9.93332524001438e-12,3.33604178160626e-09,9.47765484408889,9.15715008032558,1.03500049261526
"IKZF1","IKZF1",-7.92719793725554,9.95676658049765e-12,3.33604178160626e-09,11.0369956537778,11.4286940269767,0.96572676000649
"COX17","COX17",7.90528647283043,9.95687492724846e-12,3.33604178160626e-09,8.13578426851111,7.62118709539535,1.06752191839335
"CHMP5","CHMP5",8.03834320089591,1.02609291779991e-11,3.41695198291502e-09,8.7655882116,7.83852034969767,1.11827077312341
"LARP1","LARP1",-7.9120308327064,1.04692285627818e-11,3.46518775454062e-09,9.24931560753333,9.61750187739535,0.961717057656377
"RNF141","RNF141",7.83406683453397,1.1497677924758e-11,3.75321694032887e-09,7.73448481537778,7.22887430616279,1.06994318725171
"CASP2","CASP2",-7.8361680972756,1.15456108614295e-11,3.75321694032887e-09,9.93024802222222,10.1716978200465,0.976262586433856
"LSM1","LSM1",8.05642203611205,1.16935078108317e-11,3.75657377689971e-09,8.32990832975556,7.78568911527907,1.06989994160035
"YTHDF2","YTHDF2",-7.8258373742805,1.22292757219659e-11,3.88300834304491e-09,9.18318934933333,9.41973042516279,0.974888763780587
"YLPM1","YLPM1",-7.82389205655744,1.23018318787981e-11,3.8834678866867e-09,7.97509084993333,8.33581794323256,0.956725651189146
"FAR1","FAR1",7.90466039310128,1.24951270404643e-11,3.92181823598206e-09,8.4711857672,7.89725585597674,1.07267460010035
"FEM1C","FEM1C",7.81972254810157,1.29665436736777e-11,4.04652485514607e-09,7.36580598337778,6.8993198144186,1.06761335631728
"NMI","NMI",7.81160052409888,1.3045344299321e-11,4.04798516033419e-09,10.3840860126222,9.82698563662791,1.05669087109661
"SEC31A","SEC31A",-7.80255453100513,1.36243602277874e-11,4.2014344982937e-09,9.13537300155556,9.47421519911628,0.964235328157595
"UQCRQ","UQCRQ",7.80454473491129,1.36937238513958e-11,4.2014344982937e-09,8.72818887535555,7.7342681624186,1.12850869559534
"MLEC","MLEC",-7.79327594842161,1.38313058388494e-11,4.21993913841946e-09,8.82813234768889,9.04364933406977,0.97616924557557
"PDCD6","PDCD6",8.00969336064003,1.4359662462642e-11,4.35680136706816e-09,9.65507788877778,9.40350467351163,1.02675313343277
